"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"21","ACRU.NP21",9,882.112009896601,0,1,0.237398844409808,-431.237823130119,0.237398844409808
"23","ACRU.NP23",5,882.597662979214,0.485653082612203,0.784407564283228,0.186217449307151,-436.03567359487,0.423616293716959
"8","ACRU.NP8",9,883.469617481389,1.35760758478807,0.507223374072067,0.120414242862353,-431.916626922513,0.544030536579312
"29","ACRU.NP29",3,883.714667513849,1.60265761724759,0.448732288436475,0.106528526724188,-438.753885481062,0.6505590633035
"20","ACRU.NP20",9,884.347214850776,2.23520495417449,0.327062996403563,0.0776443773954151,-432.355425607206,0.728203440698915
"10","ACRU.NP10",9,885.203135242473,3.09112534587177,0.2131918801671,0.0506115059892239,-432.783385803055,0.778814946688139
"17","ACRU.NP17",5,885.467320046468,3.35531014986702,0.186811521853146,0.0443488394103744,-437.470502128497,0.823163786098513
"31","ACRU.NP31",2,885.732474813531,3.62046491692911,0.163616098434687,0.038842272695236,-440.814955355483,0.862006058793749
"6","ACRU.NP6",29,886.112707989677,4.00069809307593,0.13528805316776,0.032117227484479,-404.389687328172,0.894123286278228
"27","ACRU.NP27",3,886.722474605136,4.61046470853466,0.0997356239632886,0.0236771218753759,-440.257789026706,0.917800408153604
"25","ACRU.NP25",5,887.680028784679,5.56801888807718,0.0617902654424183,0.0146689376118054,-438.576856497602,0.932469345765409
"28","ACRU.NP28",3,887.806868488732,5.69485859213034,0.0579932127946447,0.0137675217010608,-440.799985968504,0.94623686746647
"30","ACRU.NP30",3,887.820695329188,5.70868543258666,0.0575936640597479,0.0136726692931109,-440.806899388732,0.959909536759581
"4","ACRU.NP4",29,888.775700808138,6.66369091153695,0.0357271113883743,0.00848157495770056,-405.721183737402,0.968391111717282
"7","ACRU.NP7",9,889.518605238505,7.40659534190388,0.0246421306972693,0.00585001335132719,-434.941120801071,0.974241125068609
"24","ACRU.NP24",5,889.817276787913,7.70526689131168,0.021223771132036,0.00503849874076359,-439.64548049922,0.979279623809372
"19","ACRU.NP19",5,890.19447091393,8.08246101732834,0.0175758318905059,0.00417248218034715,-439.834077562228,0.98345210598972
"15","ACRU.NP15",17,890.323300939089,8.21129104248735,0.0164793776158304,0.00391218520259101,-425.161650469544,0.987364291192311
"18","ACRU.NP18",5,890.760030960823,8.64802106422189,0.0132466507496886,0.00314473958027639,-440.116857585675,0.990509030772587
"14","ACRU.NP14",17,891.277257976673,9.16524808007182,0.0102280223125832,0.00242812067760498,-425.638628988337,0.992937151450192
"26","ACRU.NP26",5,891.464535505862,9.35252560926085,0.00931375625386773,0.00221107497178282,-440.469109858194,0.995148226421975
"2","ACRU.NP2",17,891.945585189822,9.83357529322097,0.00732261593551131,0.00173838056114723,-425.972792594911,0.996886606983122
"12","ACRU.NP12",9,893.126544251262,11.0145343546602,0.00405717979978836,0.000963169796032575,-436.745090307449,0.997849776779155
"9","ACRU.NP9",17,893.463614619171,11.3516047225698,0.00342791744433874,0.000813783640018241,-426.731807309586,0.998663560419173
"22","ACRU.NP22",9,894.281310638419,12.1693007418178,0.00227756048646889,0.000540690227561155,-437.322473501028,0.999204250646734
"11","ACRU.NP11",17,894.7214909186,12.6094810219988,0.00182762035459851,0.000433874960201529,-427.3607454593,0.999638125606935
"16","ACRU.NP16",9,895.126831293645,13.0148213970435,0.00149233883985897,0.000354279516050393,-437.745233828641,0.999992405122986
"13","ACRU.NP13",17,903.323244253483,21.2112343568814,2.47764444074475e-05,5.88189927091191e-06,-431.661622126741,0.999998287022257
"5","ACRU.NP5",29,905.794040638285,23.682030741684,7.20298257751305e-06,1.70997974020558e-06,-414.230353652476,0.999999997001997
"3","ACRU.NP3",29,918.486625230356,36.3746153337542,1.26285253278163e-08,2.99799731942358e-09,-420.576645948511,0.999999999999994
"1","ACRU.NP1",50,944.831986031107,62.7199761345057,2.40176344108581e-14,5.70175865459495e-15,-385.459471276423,1
