"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"31","ACRU.Qty_N31",2,-444.084121854709,0,1,0.314014329817675,224.093342978637,0.314014329817675
"28","ACRU.Qty_N28",3,-442.527378506525,1.55674334818394,0.459153053739041,0.144180638453604,224.367137529125,0.458194968271279
"29","ACRU.Qty_N29",3,-442.508774392192,1.57534746251685,0.454901789192433,0.142845680466123,224.357835471958,0.601040648737403
"27","ACRU.Qty_N27",3,-442.482106545379,1.60201530933034,0.44887642373084,0.140953629368795,224.344501548551,0.741994278106197
"30","ACRU.Qty_N30",3,-441.987171966115,2.09694988859377,0.350471830819837,0.110053177074865,224.09703425892,0.852047455181062
"17","ACRU.Qty_N17",5,-438.974056208537,5.11006564617151,0.0776896820103575,0.0243956734302307,224.750185999006,0.876443128611293
"19","ACRU.Qty_N19",5,-438.719747698512,5.3643741561965,0.0684133650414314,0.0214827769740571,224.623031743993,0.89792590558535
"24","ACRU.Qty_N24",5,-438.702801855219,5.3813199994903,0.0678361527502806,0.0213015240432888,224.614558822346,0.919227429628639
"26","ACRU.Qty_N26",5,-438.596540637286,5.48758121742281,0.0643260492845785,0.0201993012559157,224.56142821338,0.939426730884554
"23","ACRU.Qty_N23",5,-438.508562191312,5.57555966339692,0.0615577308363712,0.0193300095936799,224.517438990393,0.958756740478234
"25","ACRU.Qty_N25",5,-438.493668151745,5.59045370296445,0.0611010119051755,0.0191865933045855,224.509991970609,0.97794333378282
"18","ACRU.Qty_N18",5,-438.371148606768,5.71297324794074,0.0574703208267175,0.0180465042788085,224.448732198121,0.995989838061628
"16","ACRU.Qty_N16",9,-432.109699375623,11.9744224790862,0.00251065591428833,0.000788381934328032,225.873031505993,0.996778219995956
"21","ACRU.Qty_N21",9,-431.983073040533,12.1010488141765,0.00235662585109361,0.000740014287262169,225.809718338448,0.997518234283219
"20","ACRU.Qty_N20",9,-431.377501392751,12.7066204619584,0.00174097455933044,0.000546690959477772,225.506932514557,0.998064925242696
"7","ACRU.Qty_N7",9,-431.032234671345,13.0518871833644,0.00146493619306686,0.000460010956891547,225.334299153854,0.998524936199588
"12","ACRU.Qty_N12",9,-431.030631805972,13.0534900487371,0.00146376261565277,0.000459642436766372,225.333497721168,0.998984578636354
"10","ACRU.Qty_N10",9,-430.692785562907,13.391336291802,0.00123625559914512,0.000388201973448904,225.164574599635,0.999372780609803
"8","ACRU.Qty_N8",9,-430.347862037422,13.7362598172872,0.0010404209286328,0.000326707080632911,224.992112836893,0.999699487690436
"22","ACRU.Qty_N22",9,-430.168973651784,13.9151482029251,0.000951401781501548,0.000298753792805551,224.902668644074,0.999998241483242
"9","ACRU.Qty_N9",17,-419.087811524266,24.9963103304434,3.73353457703318e-06,1.17238335805819e-06,229.543905762133,0.9999994138666
"14","ACRU.Qty_N14",17,-416.238692814474,27.8454290402353,8.98342426447506e-07,2.82092394987698e-07,228.119346407237,0.999999695958995
"13","ACRU.Qty_N13",17,-414.451586351769,29.6325355029398,3.67600990681491e-07,1.15431978729162e-07,227.225793175885,0.999999811390973
"2","ACRU.Qty_N2",17,-414.053114245999,30.0310076087096,3.01196246067152e-07,9.45799373523764e-08,227.026557123,0.999999905970911
"15","ACRU.Qty_N15",17,-413.221672358531,30.8624494961781,1.98748675399844e-07,6.24099321078328e-08,226.610836179265,0.999999968380843
"11","ACRU.Qty_N11",17,-411.861709558648,32.2224122960613,1.00691329014894e-07,3.1618520199063e-08,225.930854779324,0.999999999999363
"4","ACRU.Qty_N4",29,-389.811435513684,54.2726863410253,1.63996999414532e-12,5.14974078632639e-13,233.572384423508,0.999999999999878
"5","ACRU.Qty_N5",29,-385.934146680369,58.1499751743405,2.35989852858855e-13,7.41041954892453e-14,231.633740006851,0.999999999999952
"3","ACRU.Qty_N3",29,-383.790574969761,60.2935468849477,8.08020997695955e-14,2.53730172070105e-14,230.561954151547,0.999999999999977
"6","ACRU.Qty_N6",29,-383.553881916267,60.5302399384422,7.17836278507302e-14,2.25410877914285e-14,230.4436076248,1
"1","ACRU.Qty_N1",50,-304.857663944881,139.226457909828,5.8527341486859e-31,1.83784239130063e-31,239.385353711571,1
