"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"21","BEPA.NP21",9,694.546384912382,0,1,0.551568254563739,-337.261956501135,0.551568254563739
"23","BEPA.NP23",5,696.834423171787,2.28803825940417,0.318536207312185,0.175694459882535,-343.094630940732,0.727262714446274
"31","BEPA.NP31",2,698.881780437325,4.33539552494278,0.114440783725436,0.0631219033303449,-347.378390218663,0.790384617776619
"29","BEPA.NP29",3,699.348648474119,4.80226356173659,0.0906153385251355,0.0499805441070113,-346.548008447586,0.840365161883631
"27","BEPA.NP27",3,699.616443172118,5.07005825973522,0.0792594104149713,0.0437169746603367,-346.681905796585,0.884082136543967
"28","BEPA.NP28",3,700.636821378621,6.09043646623854,0.0475859260292207,0.0262468861617365,-347.192094899837,0.910329022705704
"30","BEPA.NP30",3,700.991854572115,6.44546965973291,0.0398459372557108,0.0219777540635887,-347.369611496584,0.932306776769292
"26","BEPA.NP26",5,701.219889955215,6.6735050428324,0.0355522255464685,0.019609478990522,-345.287364332446,0.951916255759814
"24","BEPA.NP24",5,702.815132216136,8.26874730375391,0.016012691508761,0.0088320923063549,-346.084985462907,0.960748348066169
"17","BEPA.NP17",5,703.059869523159,8.51348461077691,0.0141683835770594,0.00781483059958818,-346.207354116418,0.968563178665758
"18","BEPA.NP18",5,703.421847889227,8.87546297684491,0.0118227281176195,0.00652104151201701,-346.388343299452,0.975084220177775
"25","BEPA.NP25",5,703.546240287609,8.99985537522616,0.0111097998853439,0.00612781293131156,-346.450539498643,0.981212033109086
"8","BEPA.NP8",9,704.407360192989,9.86097528060679,0.00722298020619037,0.00398396658507686,-342.192444141438,0.985195999694163
"16","BEPA.NP16",9,704.737194861854,10.1908099494718,0.00612482573284868,0.00337825943897442,-342.357361475871,0.988574259133137
"19","BEPA.NP19",5,704.896577839037,10.3501929266545,0.00565567132276521,0.0031194887598838,-347.125708274357,0.991693747893021
"10","BEPA.NP10",9,704.976474147648,10.4300892352651,0.00543419101033413,0.00299732725053596,-342.477001118768,0.994691075143557
"12","BEPA.NP12",9,706.182035744399,11.6356508320169,0.00297406547313946,0.00164040010197781,-343.079781917144,0.996331475245535
"14","BEPA.NP14",17,707.163424523656,12.6170396112733,0.00182072627437938,0.00100425481319777,-332.80393448405,0.997335730058733
"13","BEPA.NP13",16,707.673107668843,13.1267227564609,0.001411134372938,0.000778336923036311,-334.51948066369,0.998114066981769
"20","BEPA.NP20",9,707.707518385806,13.161133473424,0.00138706297252973,0.000765059902728213,-343.842523237847,0.998879126884497
"2","BEPA.NP2",17,709.386760285213,14.8403753728304,0.000599036703911215,0.000330409629195924,-333.915602364829,0.999209536513693
"15","BEPA.NP15",17,709.818725718268,15.2723408058851,0.000482673361658964,0.000266227303614647,-334.131585081356,0.999475763817308
"22","BEPA.NP22",9,709.818821840023,15.2724369276409,0.000482650164510892,0.000266214508804174,-344.898174964956,0.999741978326112
"7","BEPA.NP7",9,710.224555310583,15.6781703982003,0.000394029334221018,0.000217334072123199,-345.101041700235,0.999959312398235
"9","BEPA.NP9",17,713.869871159487,19.3234862471044,6.36734344768232e-05,3.512024511646e-05,-336.157157801966,0.999994432643352
"11","BEPA.NP11",17,717.554097227683,23.0077123153002,1.00911055809879e-05,5.56593349192393e-06,-337.999270836064,0.999999998576844
"5","BEPA.NP5",31,734.416412954207,39.8700280418249,2.19954784894349e-09,1.21320076787119e-09,-321.40223632785,0.999999999790044
"3","BEPA.NP3",31,737.958785727839,43.4124008154566,3.74211336321315e-10,2.06403093612712e-10,-323.173422714666,0.999999999996447
"6","BEPA.NP6",33,746.307282807563,51.7608978951802,5.75789621959822e-12,3.17587276780294e-12,-322.892102942243,0.999999999999623
"4","BEPA.NP4",33,750.571253897117,56.0248689847344,6.82895538339614e-13,3.76663500131346e-13,-325.02408848702,1
"1","BEPA.NP1",57,855.652144563206,161.105759650824,1.03831419267428e-35,5.72701146942108e-36,-290.19192594014,1
