"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"31","BEPA.Qty_C31",2,-45.9407195765367,0,1,0.26141899989866,25.0328597882684,0.26141899989866
"28","BEPA.Qty_C28",3,-45.0718200225945,0.868899553942221,0.647620904999814,0.169300409298517,25.6622258007709,0.430719409197177
"29","BEPA.Qty_C29",3,-44.8375849648624,1.10313461167427,0.576046261828363,0.150589437662532,25.5451082719049,0.58130884685971
"30","BEPA.Qty_C30",3,-44.6832747053679,1.25744487116886,0.533272656165444,0.139407604448073,25.4679531421576,0.720716451307782
"27","BEPA.Qty_C27",3,-43.9015235294659,2.03919604707085,0.360739919989557,0.0943042691071928,25.0770775542066,0.815020720414975
"25","BEPA.Qty_C25",5,-42.28734893955,3.65337063698673,0.160946169877213,0.0420743867668209,26.4662551149363,0.857095107181796
"19","BEPA.Qty_C19",5,-41.5078671286286,4.43285244790813,0.108997947854402,0.028494134519104,26.0765142094756,0.8855892417009
"18","BEPA.Qty_C18",5,-41.3135870757147,4.62713250082201,0.0989078915401386,0.0258564020885082,25.9793741830186,0.911445643789408
"23","BEPA.Qty_C23",5,-41.2178028038727,4.722916772664,0.0942826223952807,0.0246472688543973,25.9314820470976,0.936092912643805
"24","BEPA.Qty_C24",5,-41.1784516775191,4.76226789901765,0.0924456893086354,0.0241670596440058,25.9118064839208,0.960259972287811
"17","BEPA.Qty_C17",5,-40.6669182435061,5.27380133303057,0.0715827850264702,0.0187131000715806,25.6560397669144,0.978973072359392
"26","BEPA.Qty_C26",5,-39.6949265373919,6.24579303914484,0.0440294513738578,0.0115101351442406,25.1700439138572,0.990483207503632
"10","BEPA.Qty_C10",9,-37.0492888496498,8.89143072688693,0.0117287127368417,0.00306610835376383,28.5358803798811,0.993549315857396
"7","BEPA.Qty_C7",9,-35.9450830662794,9.99563651025733,0.00675266352841266,0.0017652745462498,27.9837774881959,0.995314590403646
"20","BEPA.Qty_C20",9,-35.6845401860538,10.2561793904829,0.00592787370973275,0.0015496588167239,27.8535060480831,0.99686424922037
"12","BEPA.Qty_C12",9,-34.9603668103902,10.9803527661465,0.00412711615662093,0.00107890657812945,27.4914193602513,0.997943155798499
"22","BEPA.Qty_C22",9,-34.7787894381801,11.1619301383566,0.00376892648832743,0.000985268993270127,27.4006306741462,0.998928424791769
"8","BEPA.Qty_C8",9,-33.8143685878764,12.1263509886603,0.0023269997680722,0.00060832195213385,26.9184202489944,0.999536746743903
"16","BEPA.Qty_C16",9,-32.1929346936769,13.7477848828598,0.00103444271030267,0.000270422978779785,26.1077033018946,0.999807169722683
"21","BEPA.Qty_C21",9,-31.4860283067031,14.4546912698336,0.000726446560652487,0.000189906933365595,25.7542501084077,0.999997076656049
"13","BEPA.Qty_C13",16,-21.1906411614846,24.7500784150522,4.22268571275167e-06,1.1038902759139e-06,29.912393751474,0.999998180546324
"11","BEPA.Qty_C11",17,-20.6251474591371,25.3155721173996,3.18268283292295e-06,8.32013763177352e-07,31.0903515073463,0.999999012560088
"2","BEPA.Qty_C2",17,-19.530970288214,26.4097492883228,1.84160212671298e-06,4.81429786176554e-07,30.5432629218848,0.999999493989874
"9","BEPA.Qty_C9",17,-18.2405975649193,27.7001220116174,9.66039603841541e-07,2.52541107098754e-07,29.8980765602374,0.999999746530981
"15","BEPA.Qty_C15",17,-17.9661535986434,27.9745659778933,8.42170803345505e-07,2.20159449154433e-07,29.7608545770995,0.99999996669043
"14","BEPA.Qty_C14",17,-14.1891389074888,31.7515806690479,1.27418316249367e-07,3.33095688026807e-08,27.8723472315222,0.999999999999999
"3","BEPA.Qty_C3",31,21.7239952099532,67.6647147864899,2.0267205652777e-15,5.29823263248943e-16,34.9439725442771,0.999999999999999
"5","BEPA.Qty_C5",31,22.2112399605649,68.1519595371016,1.58851024845117e-15,4.15266760478878e-16,34.7003501689713,1
"6","BEPA.Qty_C6",33,24.311813715746,70.2525332922827,5.5572025422574e-16,1.45275833083122e-16,38.1056316036655,1
"4","BEPA.Qty_C4",33,31.530803678815,77.4715232553518,1.50408532087365e-17,3.93196480345046e-18,34.4961366221309,1
"1","BEPA.Qty_C1",57,178.179751329649,224.120470906186,2.15207846618165e-49,5.62594200332651e-50,48.5442706766387,1
