"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"25","VAAN.CN25",5,1329.16004684836,0,1,0.262570374920728,-659.417861262019,0.262570374920728
"10","VAAN.CN10",9,1329.7916719379,0.631625089532463,0.729196128987466,0.191465300978982,-655.398598399887,0.45403567589971
"3","VAAN.CN3",31,1329.90569647881,0.745649630441903,0.688785887078694,0.180854768610359,-627.713854528711,0.634890444510069
"24","VAAN.CN24",5,1330.53219086853,1.3721440201632,0.50355012931487,0.132217346245586,-660.103933272101,0.767107790755655
"7","VAAN.CN7",9,1331.98218649598,2.8221396476174,0.243882232520374,0.0640362492293788,-656.49385567893,0.831144039985034
"2","VAAN.CN2",17,1332.02500038144,2.86495353307669,0.238716943312237,0.0626799973054242,-647.243714063552,0.893824037290458
"28","VAAN.CN28",3,1334.12770349826,4.96765664989903,0.0834232422033124,0.0219044719824264,-663.999680626136,0.915728509272885
"19","VAAN.CN19",5,1334.37148787543,5.21144102706194,0.0738499081656457,0.0193907980749149,-662.02358177555,0.935119307347799
"17","VAAN.CN17",5,1334.96459904541,5.80455219704777,0.0548981242057042,0.0144146210551364,-662.320137360543,0.949533928402936
"11","VAAN.CN11",17,1335.36999689903,6.20995005066902,0.044825638050603,0.0117698845890077,-648.916212322348,0.961303812991944
"12","VAAN.CN12",9,1335.52565821925,6.3656113708837,0.0414691423794926,0.0108885682622244,-658.265591540563,0.972192381254168
"29","VAAN.CN29",3,1335.84754955979,6.68750271142449,0.0353042701226221,0.00926985544239953,-664.859603656899,0.981462236696568
"23","VAAN.CN23",5,1337.40231369541,8.24226684704763,0.0162261129574561,0.00426049656274532,-663.538994685543,0.985722733259313
"21","VAAN.CN21",9,1337.68470526851,8.52465842014453,0.0140894468797169,0.00369947134963294,-659.345115065193,0.989422204608946
"27","VAAN.CN27",3,1337.70640566173,8.54635881336344,0.0139373999720376,0.00365954833607804,-665.789031707869,0.993081752945024
"15","VAAN.CN15",17,1339.18422695232,10.0241801039599,0.00665697533175744,0.00174792450869759,-650.823327348994,0.994829677453721
"22","VAAN.CN22",9,1339.58314256014,10.4230957117784,0.005453226343181,0.00143185568545662,-660.29433371101,0.996261533139178
"26","VAAN.CN26",5,1340.39891037558,11.2388635272209,0.00362670134723862,0.000952264332469953,-665.03729302563,0.997213797471648
"18","VAAN.CN18",5,1340.99073963658,11.8306927882165,0.00269772516088381,0.000708342706926343,-665.333207656128,0.997922140178574
"8","VAAN.CN8",9,1341.02329683551,11.8632499871439,0.00265416548073216,0.000696905225377497,-661.014410848693,0.998619045403952
"20","VAAN.CN20",9,1341.49353247692,12.3334856285539,0.00209805864984553,0.000550888046295617,-661.249528669398,0.999169933450247
"31","VAAN.CN31",2,1341.60967015427,12.4496233059072,0.00197969665025781,0.000519809691687502,-668.772920183518,0.999689743141935
"30","VAAN.CN30",3,1343.25977494145,14.0997280930851,0.000867526892570441,0.000227786861436035,-668.565716347729,0.999917530003371
"16","VAAN.CN16",9,1346.10265352264,16.9426066742781,0.000209391817308097,5.49800879759195e-05,-663.55408919226,0.999972510091347
"13","VAAN.CN13",16,1348.19289782075,19.0328509723886,7.36323945152033e-05,1.93336854341679e-05,-656.533230519571,0.999991843776781
"14","VAAN.CN14",17,1351.24574042592,22.0856935775612,1.60012007961599e-05,4.20144129222954e-06,-656.854084085795,0.999996045218073
"9","VAAN.CN9",17,1352.09046335447,22.9304165061046,1.04887400431374e-05,2.75403240557263e-06,-657.276445550066,0.999998799250479
"6","VAAN.CN6",33,1353.76983641352,24.6097895651544,4.52951910211882e-06,1.18931752885394e-06,-636.738421391472,0.999999988568008
"5","VAAN.CN5",31,1363.2793316082,34.1192847598402,3.90024106994732e-08,1.02408776001729e-08,-644.40067209341,0.999999998808885
"4","VAAN.CN4",33,1367.5875443672,38.4274975188414,4.52454526204244e-09,1.18801154580029e-09,-643.647275368316,0.999999999996897
"1","VAAN.CN1",58,1379.48279350005,50.3227466516882,1.18182836018508e-11,3.10313115625746e-12,-605.817154325783,1
