"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"25","VAAN.N25",5,-56.4072524264325,0,1,0.320187078029378,33.3657883753784,0.320187078029378
"10","VAAN.N10",9,-55.314503914986,1.09274851144654,0.579045479738214,0.185402880203498,37.1544895265538,0.505589958232876
"24","VAAN.N24",5,-53.8559589188835,2.55129350754902,0.27925030361705,0.0894123387539599,32.0901416216039,0.595002296986836
"7","VAAN.N7",9,-53.80164481031,2.60560761612251,0.271768736427774,0.0870168376165452,36.3980599742158,0.682019134603381
"19","VAAN.N19",5,-53.7878147003363,2.61943772609624,0.269895923436912,0.0864171870973054,32.0560695123303,0.768436321700686
"12","VAAN.N12",9,-53.1829318742597,3.22432055217287,0.199456267723838,0.0638633195571409,36.0887035061906,0.832299641257827
"2","VAAN.N2",17,-53.047764387602,3.35948803883052,0.186421690265474,0.0596898162873998,45.2926683209686,0.891989457545227
"28","VAAN.N28",3,-52.6154618406224,3.79179058581009,0.150183816333345,0.0480869173190745,29.3719020433059,0.940076374864302
"29","VAAN.N29",3,-51.0683745868132,5.3388778396193,0.0692910922638242,0.0221861123654179,28.5983584164013,0.962262487229719
"17","VAAN.N17",5,-50.7644795768696,5.64277284956293,0.0595233608128667,0.0190586109731602,30.544401950597,0.98132109820288
"23","VAAN.N23",5,-47.9455838674443,8.46166855898822,0.0145402548503772,0.00465560171434476,29.1349540958843,0.985976699917224
"27","VAAN.N27",3,-47.4709933742405,8.93625905219207,0.0114687477937712,0.00367214484474347,26.7996678101149,0.989648844761968
"21","VAAN.N21",9,-47.185948747306,9.22130367912651,0.00994533343272776,0.00318436725185298,33.0902119427138,0.992833212013821
"31","VAAN.N31",2,-45.7762422365207,10.6310101899119,0.00491479568979567,0.00157365407102706,24.9200360118774,0.994406866084848
"3","VAAN.N3",31,-44.3586106395215,12.048641786911,0.00241919390005186,0.000774594626044101,59.4182990304526,0.995181460710892
"26","VAAN.N26",5,-44.2183980538445,12.188854372588,0.00225540169577291,0.000722150478752033,27.2713611890844,0.995903611189644
"8","VAAN.N8",9,-44.1208831976309,12.2863692288017,0.00214807193328815,0.00068778487571645,31.5576791678762,0.99659139606536
"22","VAAN.N22",9,-43.9252477064611,12.4820047199715,0.00194790204489869,0.000623693064043562,31.4598614222913,0.997215089129404
"11","VAAN.N11",17,-43.8926396175507,12.5146128088819,0.00191640085953314,0.000613606791546904,40.715105935943,0.997828695920951
"18","VAAN.N18",5,-43.8095445165287,12.5977079099038,0.00183841047140525,0.000588635277057857,27.0669344204265,0.998417331198009
"30","VAAN.N30",3,-43.7118006349505,12.6954517914821,0.00175072394148403,0.000560559183259847,24.9200714404699,0.998977890381269
"15","VAAN.N15",17,-43.0793489247875,13.327903501645,0.00127609358940249,0.000408588677682803,40.3084605895614,0.999386479058951
"20","VAAN.N20",9,-41.8656775658227,14.5415748606098,0.000695564069834675,0.000222710627102587,30.4300763519721,0.999609189686054
"16","VAAN.N16",9,-41.5778232297399,14.8294291966926,0.000602324272919081,0.00019285644897213,30.2861491839307,0.999802046135026
"13","VAAN.N13",16,-41.5478691596315,14.859383266801,0.00059337045932928,0.000189989553561592,38.3371529706204,0.999992035688588
"14","VAAN.N14",17,-34.8079242833361,21.5993281430965,2.04063573359195e-05,6.53385192861141e-06,36.1727482688357,0.999998569540516
"9","VAAN.N9",17,-31.3628829000071,25.0443695264254,3.64488857146871e-06,1.16704622144124e-06,34.4502275771712,0.999999736586738
"6","VAAN.N6",33,-27.7494311212047,28.6578213052278,5.98457304134674e-07,1.9161829553622e-07,54.021212375889,0.999999928205033
"5","VAAN.N5",31,-25.7595678843702,30.6476845420623,2.21278826776284e-07,7.08506209752671e-08,50.1187776528769,0.999999999055654
"4","VAAN.N4",33,-17.1238872608203,39.2833651656122,2.94934541980999e-09,9.44342292068289e-10,48.7084404456968,0.999999999999997
"1","VAAN.N1",58,7.91734415461204,64.3245965810446,1.0766916056002e-14,3.44742739135886e-15,79.9655703469364,1
