"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"3","VAAN.Qty_N3",31,-336.445622414087,0,1,0.322077844776514,205.461804917735,0.322077844776514
"13","VAAN.Qty_N13",16,-336.050225159539,0.395397254547959,0.820617127495818,0.264302595810547,185.588330970574,0.58638044058706
"26","VAAN.Qty_N26",5,-335.265761171913,1.17986124217413,0.554365744693073,0.178548924268672,172.795042748119,0.764929364855732
"21","VAAN.Qty_N21",9,-334.746279172339,1.69934324174812,0.427555309137701,0.137706092489827,176.87037715523,0.902635457345559
"22","VAAN.Qty_N22",9,-331.65444430969,4.79117810439709,0.0911189892701876,0.0293474076823563,175.324459723906,0.931982865027915
"16","VAAN.Qty_N16",9,-330.212950479885,6.23267193420213,0.0443192585078742,0.0142742512623093,174.603712809003,0.946257116290224
"15","VAAN.Qty_N15",17,-330.127619700216,6.31800271387129,0.042468130414976,0.0136780439157434,183.832595977276,0.959935160205967
"20","VAAN.Qty_N20",9,-329.623284020096,6.82233839399112,0.0330025912788962,0.010629403471147,174.308879579109,0.970564563677115
"14","VAAN.Qty_N14",17,-329.381067846365,7.06455456772221,0.0292382561854025,0.009416994537218,183.45932005035,0.979981558214333
"5","VAAN.Qty_N5",31,-329.280090090858,7.16553232322934,0.0277986961180287,0.00895334413329193,201.879038756121,0.988934902347624
"31","VAAN.Qty_N31",2,-326.744114055905,9.70150835818242,0.00782247577633663,0.00251944613885899,165.403971921569,0.991454348486484
"28","VAAN.Qty_N28",3,-326.179597158707,10.2660252553801,0.00589876290195847,0.00189986084231044,166.153969702348,0.993354209328794
"29","VAAN.Qty_N29",3,-325.666008464144,10.7796139499436,0.00456285399575883,0.00146959418098391,165.897175355066,0.994823803509778
"27","VAAN.Qty_N27",3,-325.175766815473,11.2698555986147,0.00357093504789481,0.00115011906406288,165.652054530731,0.995973922573841
"19","VAAN.Qty_N19",5,-324.783426457328,11.662195956759,0.00293485280558284,0.000945251066358425,167.553875390826,0.996919173640199
"30","VAAN.Qty_N30",3,-324.690630741462,11.7549916726252,0.00280179264497553,0.000902395336604407,165.409486493726,0.997821568976804
"25","VAAN.Qty_N25",5,-323.575657432897,12.8699649811906,0.00160443679488611,0.000516753544977057,166.94999087861,0.998338322521781
"23","VAAN.Qty_N23",5,-323.075628825546,13.3699935885415,0.00124951875940726,0.000402442309037715,166.699976574935,0.998740764830818
"18","VAAN.Qty_N18",5,-322.559915657223,13.8857067568641,0.000965510695543488,0.000310969603929319,166.442119990774,0.999051734434748
"24","VAAN.Qty_N24",5,-322.346269949614,14.0993524644728,0.000867689841833453,0.000279463674192193,166.335297136969,0.99933119810894
"17","VAAN.Qty_N17",5,-321.81066151518,14.6349608989069,0.000663832665887262,0.000213805794321217,166.067492919752,0.999545003903261
"11","VAAN.Qty_N11",17,-321.788046477655,14.6575759364318,0.000656368644870394,0.000211401798518737,179.662809365995,0.99975640570178
"8","VAAN.Qty_N8",9,-319.631090713004,16.8145317010832,0.000223239393123432,7.19004626064118e-05,169.312782925563,0.999828306164386
"12","VAAN.Qty_N12",9,-319.584343311303,16.8612791027844,0.000218081971151997,7.0239371253249e-05,169.289409224712,0.999898545535639
"7","VAAN.Qty_N7",9,-318.921223300869,17.5243991132179,0.000156539911238501,5.0418037233203e-05,168.957849219495,0.999948963572873
"10","VAAN.Qty_N10",9,-318.700642257093,17.744980156994,0.000140193060954048,4.51530789247021e-05,168.847558697607,0.999994116651797
"9","VAAN.Qty_N9",17,-313.468987678677,22.9766347354102,1.02491337545224e-05,3.30101891048278e-06,175.503279966506,0.999997417670708
"4","VAAN.Qty_N4",33,-312.886087259344,23.5595351547437,7.65793971291817e-06,2.46645271816516e-06,196.589540444958,0.999999884123426
"2","VAAN.Qty_N2",17,-306.613944685863,29.8316777282237,3.32761818012227e-07,1.07175209169292e-07,172.075758470099,0.999999991298635
"6","VAAN.Qty_N6",33,-301.591974504041,34.8536479100464,2.70163403724034e-08,8.70136468089241e-09,190.942484067307,1
"1","VAAN.Qty_N1",58,-265.522386347668,70.9232360664188,3.9738820159396e-16,1.27989935508997e-16,216.685435598077,1
