"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"3","VAAN.Qty_P3",31,-1316.58457796507,0,1,0.983827078579263,695.531282693229,0.983827078579263
"5","VAAN.Qty_P5",31,-1308.35793640761,8.22664155746565,0.0163533783064858,0.0160888964041714,691.417961914496,0.999915974983435
"13","VAAN.Qty_P13",16,-1296.30575325983,20.2788247052456,3.94920033802102e-05,3.88533023127946e-05,665.716095020719,0.999954828285748
"21","VAAN.Qty_P21",9,-1295.4483053243,21.1362726407699,2.57227094414601e-05,2.53066980829349e-05,657.221390231213,0.999980134983831
"14","VAAN.Qty_P14",17,-1294.5720127441,22.0125652209749,1.65970994385385e-05,1.63286758535069e-05,666.054792499217,0.999996463659684
"4","VAAN.Qty_P4",33,-1289.32316382669,27.2614141383881,1.20298201742296e-06,1.18352628378462e-06,684.808078728629,0.999997647185968
"26","VAAN.Qty_P26",5,-1288.9134996911,27.6710782739726,9.80170660587559e-07,9.64318437514965e-07,649.618912007713,0.999998611504405
"15","VAAN.Qty_P15",17,-1287.49353730799,29.091040657082,4.81904281584448e-07,4.74110481506066e-07,662.515554781163,0.999999085614887
"16","VAAN.Qty_P16",9,-1287.11272157996,29.4718563851154,3.98352640496555e-07,3.91910114544061e-07,653.05359835904,0.999999477525001
"20","VAAN.Qty_P20",9,-1286.11809353021,30.4664844348586,2.42262928923778e-07,2.38344829611136e-07,652.556284334168,0.999999715869831
"31","VAAN.Qty_P31",2,-1283.69514005405,32.8894379110252,7.2135542315571e-08,7.0968899858059e-08,643.879484920641,0.999999786838731
"22","VAAN.Qty_P22",9,-1282.57819369857,34.0063842665043,4.12674355589807e-08,4.06000205664499e-08,650.786334418345,0.999999827438751
"27","VAAN.Qty_P27",3,-1282.04132448135,34.5432534837234,3.15520667850678e-08,3.10417776882911e-08,644.08483336367,0.999999858480529
"29","VAAN.Qty_P29",3,-1281.9940095249,34.5905684401705,3.08143847059959e-08,3.03160260835175e-08,644.061175885446,0.999999888796555
"30","VAAN.Qty_P30",3,-1281.98995178758,34.5946261774936,3.07519297444212e-08,3.02545812011286e-08,644.059147016785,0.999999919051136
"28","VAAN.Qty_P28",3,-1281.68104907095,34.9035288941209,2.63508725920259e-08,2.59247020002272e-08,643.904695658471,0.999999944975838
"19","VAAN.Qty_P19",5,-1280.48024698226,36.104330982816,1.44558668933568e-08,1.42220732940219e-08,645.402285653291,0.999999959197912
"18","VAAN.Qty_P18",5,-1280.39870095568,36.1858770093911,1.38783119778032e-08,1.36538591287337e-08,645.361512640003,0.999999972851771
"17","VAAN.Qty_P17",5,-1278.83878062532,37.7457973397545,6.36215506763766e-09,6.25926043366221e-09,644.581552474822,0.999999979111031
"23","VAAN.Qty_P23",5,-1278.68816439461,37.8964135704675,5.90062956831286e-09,5.80519914997166e-09,644.506244359465,0.99999998491623
"25","VAAN.Qty_P25",5,-1277.96519930549,38.6193786595795,4.11063084565479e-09,4.04414993599836e-09,644.144761814909,0.99999998896038
"24","VAAN.Qty_P24",5,-1277.84929411784,38.7352838472348,3.87918047417361e-09,3.81644279318794e-09,644.086809221082,0.999999992776823
"8","VAAN.Qty_P8",9,-1277.56752100451,39.0170569605677,3.36940899527416e-09,3.31491580835927e-09,648.280998071314,0.999999996091739
"12","VAAN.Qty_P12",9,-1276.70130100274,39.8832769623352,2.18502518714543e-09,2.1496869464914e-09,647.84788807043,0.999999998241426
"11","VAAN.Qty_P11",17,-1274.26900940305,42.3155685620209,6.47576436281744e-10,6.37103233463838e-10,655.903290828694,0.999999998878529
"7","VAAN.Qty_P7",9,-1274.04340565664,42.5411723084314,5.78497926126974e-10,5.69141924625664e-10,646.518940397382,0.999999999447671
"10","VAAN.Qty_P10",9,-1273.39858737751,43.1859905875656,4.19064909058845e-10,4.12287405214448e-10,646.196531257815,0.999999999859958
"9","VAAN.Qty_P9",17,-1271.17989160872,45.4046863563558,1.38196686890554e-10,1.35961642732867e-10,654.358731931526,0.99999999999592
"2","VAAN.Qty_P2",17,-1263.32910507105,53.255472894024,2.72722516419498e-12,2.6831179659178e-12,650.433338662692,0.999999999998603
"6","VAAN.Qty_P6",33,-1261.94591334675,54.6386646183278,1.36572962107378e-12,1.34364178323018e-12,671.119453488659,0.999999999999947
"1","VAAN.Qty_P1",58,-1255.48557888123,61.0989990838482,5.40158138618924e-14,5.31422203488269e-14,711.667031864855,1
