model,term,estimate,std.error,statistic,p.value
ABBA.CPRatio1 = Year*Site,(Intercept),1063.0008819999998,465.40081376096714,2.284054626827455,0.02440014823399252
ABBA.CPRatio1 = Year*Site,Year2017,-578.9548170926835,311.7770341934276,-1.8569514543957648,0.06614800770616003
ABBA.CPRatio1 = Year*Site,SiteDP,820.7038531525001,476.8939225046165,1.72093586104477,0.0882361629304693
ABBA.CPRatio1 = Year*Site,SiteTN,580.6858617250001,502.69033246880605,1.1551562149069854,0.2506736248671353
ABBA.CPRatio1 = Year*Site,SiteUNI,1339.7802412926833,476.61690016203954,2.8110212643261008,0.005902804030751691
ABBA.CPRatio1 = Year*Site,Year2017:SiteDP,65.00642602351529,424.5398929893106,0.15312206720029506,0.8785987164772374
ABBA.CPRatio1 = Year*Site,Year2017:SiteTN,212.4667599676828,468.98159765435037,0.453038586226736,0.6514647196213226
ABBA.CPRatio1 = Year*Site,Year2017:SiteUNI,NA,NA,NA,NA
ABBA.CPRatio2 = Year,(Intercept),2060.1311384189476,73.5722714787456,28.001461651406288,1.3369759051589227e-51
ABBA.CPRatio2 = Year,Year2017,-577.4021991376974,193.7829945277367,-2.979632968026264,0.0035586122170468176
ABBA.CPRatio3 = Site,(Intercept),1063.0008820000007,475.5632529948845,2.2352460483557066,0.02747829874245709
ABBA.CPRatio3 = Site,SiteDP,753.6671064913032,485.79158988092456,1.5514206548450937,0.12375375187107224
ABBA.CPRatio3 = Site,SiteTN,472.89525668823507,502.75989734209963,0.940598602212015,0.34902924548595593
ABBA.CPRatio3 = Site,SiteUNI,1276.8503698695647,485.7915898809247,2.628391261739507,0.009840577671639782
ABBA.CPRatio4 = Null,(Intercept),1976.9019925972973,70.45874549984136,28.05758147654997,5.95749362603941e-52
