model,term,estimate,std.error,statistic,p.value
ABBA.NPRatio1 = Year*Site,(Intercept),14.329569259999944,5.50493318110072,2.6030414518373366,0.010589595395793525
ABBA.NPRatio1 = Year*Site,Year2017,-2.092902410000008,3.687814223543842,-0.56751839521591,0.5715851011713591
ABBA.NPRatio1 = Year*Site,SiteDP,12.24843447025004,5.640877927663646,2.171370241887707,0.03217655298771295
ABBA.NPRatio1 = Year*Site,SiteTN,11.622408515000036,5.946007418129213,1.9546575874701455,0.0533080203450721
ABBA.NPRatio1 = Year*Site,SiteUNI,16.45581226000004,5.637601204803548,2.918938687252085,0.0043057862248834615
ABBA.NPRatio1 = Year*Site,Year2017:SiteDP,-0.8129619835833372,5.021615077832966,-0.16189253277735574,0.8717045919920382
ABBA.NPRatio1 = Year*Site,Year2017:SiteTN,0.6004871289999932,5.547288019094536,0.10824877434397369,0.9140069259328075
ABBA.NPRatio1 = Year*Site,Year2017:SiteUNI,NA,NA,NA,NA
ABBA.NPRatio2 = Year,(Intercept),28.056880666842087,0.8339992913656064,33.64137230968292,2.1673364399192956e-59
ABBA.NPRatio2 = Year,Year2017,-2.569815414342104,2.196681940988144,-1.169862312058755,0.2446080319552509
ABBA.NPRatio3 = Site,(Intercept),14.32956925999994,5.4578802627492236,2.625482526210991,0.009919811224374318
ABBA.NPRatio3 = Site,SiteDP,11.869408679782648,5.575267461317462,2.1289397795057265,0.03555343566312453
ABBA.NPRatio3 = Site,SiteTN,11.183462844117692,5.770007046012841,1.9382060983522762,0.05523299275363758
ABBA.NPRatio3 = Site,SiteUNI,16.22832286760874,5.575267461317463,2.9107702868435856,0.004387411028768475
ABBA.NPRatio4 = Null,(Intercept),27.686456823333316,0.7728449536425632,35.824076605329246,1.781639495138576e-62
