model,term,estimate,std.error,statistic,p.value
ABBA.P1 = Year*Site,(Intercept),1.2569050904284316,0.6146780074721555,2.0448187102014845,0.043327091704209085
ABBA.P1 = Year*Site,Year2017,0.5413349677395061,0.4117794393286593,1.3146235970937898,0.19144728246506978
ABBA.P1 = Year*Site,SiteDP,-1.2167787793100064,0.6298575279485318,-1.9318317640389215,0.056025004952879466
ABBA.P1 = Year*Site,SiteTN,-0.9781103001922041,0.6639281299068412,-1.473217139224764,0.1436282173440122
ABBA.P1 = Year*Site,SiteUNI,-1.7925508823130034,0.6294916507593962,-2.8476166127867373,0.005282397097065552
ABBA.P1 = Year*Site,Year2017:SiteDP,0.15068746469825894,0.5444308195355593,0.2767798208536518,0.7824831374983056
ABBA.P1 = Year*Site,Year2017:SiteTN,0.5146688526915424,0.5835109025787951,0.8820209706742257,0.37974260952925665
ABBA.P1 = Year*Site,Year2017:SiteUNI,NA,NA,NA,NA
ABBA.P2 = Year,(Intercept),-0.15260081430356762,0.09681313153689869,-1.5762408660999299,0.11779079096797032
ABBA.P2 = Year,Year2017,0.9156048858214055,0.23714277266635195,3.8609858336674505,1.893894390627234e-4
ABBA.P3 = Site,(Intercept),1.2569050904284422,0.6394048178592565,1.9657422892692493,0.05184861350678438
ABBA.P3 = Site,SiteDP,-1.1137116085214154,0.6528674482452728,-1.7058770681778734,0.09085305486670456
ABBA.P3 = Site,SiteTN,-0.589056261086036,0.6722158543963377,-0.8762903422071464,0.38278183843037317
ABBA.P3 = Site,SiteUNI,-1.733710124950024,0.6531570324015596,-2.654354219498233,0.009124254350186314
ABBA.P4 = Null,(Intercept),-2.0796382651104705e-17,0.0936585811581694,-2.220446049250313e-16,0.9999999999999998
