model,term,estimate,std.error,statistic,p.value
ACRU.CNRatio1 = Year*Site,(Intercept),30.50535122999994,4.001212256271101,7.624027238792167,9.736146822301947e-12
ACRU.CNRatio1 = Year*Site,Year2017,6.495363265000063,5.658568638752029,1.1478809712614153,0.25353078739229323
ACRU.CNRatio1 = Year*Site,SiteDP,6.2432511490000655,4.100022499416409,1.5227358264225919,0.13072078572976611
ACRU.CNRatio1 = Year*Site,SiteTN,7.1124856015790074,4.206534327463297,1.6908183906032954,0.09372913021289932
ACRU.CNRatio1 = Year*Site,SiteUNI,7.503193673000057,4.132434248847721,1.8156837401810402,0.07216797853309208
ACRU.CNRatio1 = Year*Site,Year2017:SiteDP,-5.997975480666733,6.031384171136842,-0.9944608584825378,0.32220108452914414
ACRU.CNRatio1 = Year*Site,Year2017:SiteTN,-4.147427170864724,6.186988801561074,-0.6703466425894068,0.5040546444517322
ACRU.CNRatio1 = Year*Site,Year2017:SiteUNI,-8.641069343000066,6.090085157098961,-1.4188749615311254,0.1587886276084683
ACRU.CNRatio2 = Year,(Intercept),37.208242247362634,0.5926671731867867,62.781007504250574,7.915478323608288e-91
ACRU.CNRatio2 = Year,Year2017,0.32554473494505626,1.2572369314411167,0.25893666245701064,0.7961470226443124
ACRU.CNRatio3 = Site,(Intercept),33.75303286250001,2.8187897453049597,11.974299579711408,7.840014413576509e-22
ACRU.CNRatio3 = Site,SiteDP,3.0869264564795884,2.93158558579959,1.052988686884142,0.2945926126706904
ACRU.CNRatio3 = Site,SiteTN,4.496940609807695,3.0278658951040613,1.485184868021754,0.14027929558064642
ACRU.CNRatio3 = Site,SiteUNI,3.8037844451315728,2.963435845459793,1.2835723948467646,0.20191755370870795
ACRU.CNRatio4 = Null,(Intercept),37.280585521794876,0.5205771841239322,71.61394440390919,7.396068884474558e-98
