model,term,estimate,std.error,statistic,p.value
ACRU.N1 = Year*Site,(Intercept),1.42270857248415,0.700514083125313,2.030949279615904,0.04469385669960053
ACRU.N1 = Year*Site,Year2017,-1.6920650874779688,0.9906765169891688,-1.7079894985503814,0.09048482195824724
ACRU.N1 = Year*Site,SiteDP,-1.272221437647502,0.7178133320646412,-1.7723569357345608,0.07912918498536613
ACRU.N1 = Year*Site,SiteTN,-1.4939153601285766,0.7364609395364331,-2.0285058988585667,0.04494665230628868
ACRU.N1 = Year*Site,SiteUNI,-1.4890172769806131,0.7234878340608244,-2.058109627943557,0.04196473299427444
ACRU.N1 = Year*Site,Year2017:SiteDP,1.2111190872663535,1.0559473684502736,1.1469502396164049,0.2539135999798928
ACRU.N1 = Year*Site,Year2017:SiteTN,1.1978039698199345,1.0831899209644131,1.1058115909659456,0.2712428135599297
ACRU.N1 = Year*Site,Year2017:SiteUNI,2.00192450662237,1.0662244706698214,1.8775825932457966,0.0631114245299567
ACRU.N2 = Year,(Intercept),0.06068914767358378,0.10459657479724149,0.580221176374356,0.5629006322871637
ACRU.N2 = Year,Year2017,-0.27310116453112626,0.22188284198404618,-1.2308349852070255,0.22089605589844183
ACRU.N3 = Site,(Intercept),0.5766760287451592,0.5008742546064893,1.1513389307626192,0.2520231228758391
ACRU.N3 = Site,SiteDP,-0.5145259143555422,0.5209170877495296,-0.9877309200556299,0.3253947030671456
ACRU.N3 = Site,SiteTN,-0.7809531172975199,0.5380252556206817,-1.4515175805206197,0.1494064627238574
ACRU.N3 = Site,SiteUNI,-0.5777511713164863,0.526576599989809,-1.0971835271975012,0.27489375321385684
ACRU.N4 = Null,(Intercept),1.5396023240333542e-16,0.09245003270420485,1.6653345369377348e-15,0.9999999999999987
