model,term,estimate,std.error,statistic,p.value
ACRU.NPRatio1 = Year*Site,(Intercept),31.912428765000058,6.825297203968223,4.6756101326175505,8.44511783860867e-6
ACRU.NPRatio1 = Year*Site,Year2017,-3.4639569250000672,9.652427873079,-0.3588689778932385,0.7203872976545922
ACRU.NPRatio1 = Year*Site,SiteDP,-2.2121411572750667,6.993848441210408,-0.31629812625625287,0.7523811451018309
ACRU.NPRatio1 = Year*Site,SiteTN,-2.489963215000066,7.175537098446369,-0.3470072248026127,0.7292549579202257
ACRU.NPRatio1 = Year*Site,SiteUNI,-2.9796745550000643,7.049136641035982,-0.42270063792693824,0.6733464103746236
ACRU.NPRatio1 = Year*Site,Year2017:SiteDP,-0.941754897280482,10.2883793417355,-0.09153578673564167,0.9272348845080276
ACRU.NPRatio1 = Year*Site,Year2017:SiteTN,2.1038686671429296,10.553810861219244,0.1993468231341676,0.8423628526942111
ACRU.NPRatio1 = Year*Site,Year2017:SiteUNI,10.968483087500076,10.388511913990191,1.055828128062195,0.29338132365359126
ACRU.NPRatio2 = Year,(Intercept),29.43786630317582,1.0129510367927066,29.061489878508386,8.290414818438321e-55
ACRU.NPRatio2 = Year,Year2017,0.2730186881318715,2.1487936413782007,0.1270567274932747,0.899117394872686
ACRU.NPRatio3 = Site,(Intercept),30.180450302499978,4.859809130533713,6.210213095176745,9.036478959667695e-9
ACRU.NPRatio3 = Site,SiteDP,-1.2893750702958995,5.054277787316315,-0.2551056994792767,0.7991051890547383
ACRU.NPRatio3 = Site,SiteTN,-1.1241623603845967,5.220272405051757,-0.21534553623997157,0.8298861264980004
ACRU.NPRatio3 = Site,SiteUNI,0.33220415223686445,5.10919007120139,0.06502090304085105,0.948272247043644
ACRU.NPRatio4 = Null,(Intercept),29.498537122760677,0.8895423407009049,33.161476158085556,5.118434910306139e-61
