model,term,estimate,std.error,statistic,p.value
ACRU.P1 = Year*Site,(Intercept),0.13041183228166056,0.7173389533955784,0.18179945709674103,0.8560777672083315
ACRU.P1 = Year*Site,Year2017,0.21735305380278586,1.0144704767105461,0.2142527148819158,0.8307502875739031
ACRU.P1 = Year*Site,SiteDP,-0.053468851235477156,0.7350536937949479,-0.07274142241150745,0.9421451985240921
ACRU.P1 = Year*Site,SiteTN,-0.13498768604592934,0.7541491774538451,-0.1789933478435581,0.858275212465107
ACRU.P1 = Year*Site,SiteUNI,-0.1959075524942312,0.7408644853565146,-0.26443102128179036,0.7919471597343236
ACRU.P1 = Year*Site,Year2017:SiteDP,-0.0972292660677836,1.0813089963095466,-0.08991811443317518,0.9285173058527366
ACRU.P1 = Year*Site,Year2017:SiteTN,-0.08360738520715164,1.1092058574563353,-0.07537589586741152,0.940053804764297
ACRU.P1 = Year*Site,Year2017:SiteUNI,-0.7343635177816615,1.0918329328408711,-0.6725969657930176,0.502627104489822
ACRU.P2 = Year,(Intercept),0.014139890972664096,0.10524611158365238,0.13435072099006087,0.8933600961198296
ACRU.P2 = Year,Year2017,-0.06362950937698916,0.22326071758294994,-0.2850009176081249,0.7761560637014788
ACRU.P3 = Site,(Intercept),0.23908835918305762,0.5024505379901352,0.47584456798362856,0.6351037739780754
ACRU.P3 = Site,SiteDP,-0.1400818252875879,0.5225564472137566,-0.26807022673722003,0.7891339962857484
ACRU.P3 = Site,SiteTN,-0.20765576371004077,0.5397184555857768,-0.3847483100881999,0.7011470694388285
ACRU.P3 = Site,SiteUNI,-0.41342838760170736,0.5282337703018123,-0.7826617888619473,0.43546285685018193
ACRU.P4 = Null,(Intercept),-1.6422424789689112e-16,0.09245003270420483,-1.776356839400251e-15,0.9999999999999987
