model,term,estimate,std.error,statistic,p.value
BEPA.C1 = Year*Site,(Intercept),-0.4944074379757383,0.2296595668486754,-2.1527839870111203,0.034041000279772776
BEPA.C1 = Year*Site,Year2017,-0.1647420321204035,0.36827460631827896,-0.4473347586122358,0.6557202028304783
BEPA.C1 = Year*Site,SiteDP,0.7630809316741141,0.28592385489835914,2.668825698175396,0.009045455699331318
BEPA.C1 = Year*Site,SiteTN,0.7812857773590617,0.30236086968754783,2.5839513498106514,0.011396825502487261
BEPA.C1 = Year*Site,SiteUNI,1.0137252470644624,0.2755914802184105,3.678362067873323,4.013770911317203e-4
BEPA.C1 = Year*Site,Year2017:SiteDP,-2.5128266712215788,0.529783782719863,-4.743117387098844,7.961717894902859e-6
BEPA.C1 = Year*Site,Year2017:SiteTN,-0.24612110738252935,0.4886400133572641,-0.5036859460025032,0.6157265668778557
BEPA.C1 = Year*Site,Year2017:SiteUNI,-0.24392034381528313,0.5242795719861721,-0.4652486132374361,0.6428898233718596
BEPA.C2 = Year,(Intercept),0.24255082217186363,0.10918975079782453,2.221369866673385,0.028701025874774723
BEPA.C2 = Year,Year2017,-0.9049011442565688,0.21090217955718324,-4.290620164080463,4.286541175362698e-5
BEPA.C3 = Site,(Intercept),-0.5584737838003412,0.22142540821371237,-2.522175699282537,0.013362798959530374
BEPA.C3 = Site,SiteDP,0.29163353683032045,0.2903967004159786,1.0042591269548522,0.31785956666820764
BEPA.C3 = Site,SiteTN,0.6912784458700639,0.2929182820422209,2.359970299738491,0.020366509406494357
BEPA.C3 = Site,SiteUNI,1.0096811968997852,0.280083448715155,3.6049298933284395,5.04314901724782e-4
BEPA.C4 = Null,(Intercept),-9.018085523969603e-17,0.10153461651336193,-8.881784197001251e-16,0.9999999999999993
