model,term,estimate,std.error,statistic,p.value
BEPA.CNRatio1 = Year*Site,(Intercept),42.680851040909126,4.464122410396975,9.560860370115547,2.5904793445841243e-15
BEPA.CNRatio1 = Year*Site,Year2017,3.7047091333765967,7.158521396710692,0.517524350081414,0.6060741276057714
BEPA.CNRatio1 = Year*Site,SiteDP,-4.776264469409111,5.557787580257381,-0.8593823352255435,0.3924384648339949
BEPA.CNRatio1 = Year*Site,SiteTN,-8.599199746909116,5.877290255836284,-1.4631232034813857,0.1469564089697322
BEPA.CNRatio1 = Year*Site,SiteUNI,-0.4837538653091131,5.356946892476371,-0.09030402485201544,0.9282485448768143
BEPA.CNRatio1 = Year*Site,Year2017:SiteDP,-3.6084163208766,10.297936591785673,-0.35040187796018435,0.7268650770447792
BEPA.CNRatio1 = Year*Site,Year2017:SiteTN,-4.609069936265477,9.498184047704614,-0.48525801491279075,0.6286857048617758
BEPA.CNRatio1 = Year*Site,Year2017:SiteUNI,-13.848348756976588,10.190945749536077,-1.3588874965414282,0.17761610259506103
BEPA.CNRatio2 = Year,(Intercept),39.34835622084508,1.771324289769191,22.21408945166799,2.135126679829344e-39
BEPA.CNRatio2 = Year,Year2017,-1.9035015931527637,3.4213481639555594,-0.5563600960599252,0.5792728772205096
BEPA.CNRatio3 = Site,(Intercept),44.12157125944445,3.4566754348659967,12.764163743696953,3.7095954839701147e-22
BEPA.CNRatio3 = Site,SiteDP,-6.197726125444426,4.533387332519728,-1.367129184172232,0.17488026085532543
BEPA.CNRatio3 = Site,SiteTN,-10.379055266527766,4.572751781860738,-2.2697613519499487,0.025532278920134974
BEPA.CNRatio3 = Site,SiteUNI,-3.615080687777779,4.37238700245183,-0.8267979677349263,0.41046789289051777
BEPA.CNRatio4 = Null,(Intercept),38.83813929896909,1.509989570584383,25.720799703231254,7.507076820023542e-45
