model,term,estimate,std.error,statistic,p.value
BEPA.CPRatio1 = Year*Site,(Intercept),1130.159961327274,232.05989800632315,4.870121770442558,4.811001847095233e-6
BEPA.CPRatio1 = Year*Site,Year2017,271.62466128701067,372.1236992354431,0.7299311004515018,0.46734920547428094
BEPA.CPRatio1 = Year*Site,SiteDP,-79.0830188672742,288.912243089823,-0.2737267829895573,0.784928845908472
BEPA.CPRatio1 = Year*Site,SiteTN,-338.56305829394114,305.52105250215146,-1.1081496856638284,0.27078292366590195
BEPA.CPRatio1 = Year*Site,SiteUNI,20.567370004725444,278.4718776075878,0.07385797869940826,0.9412891391435156
BEPA.CPRatio1 = Year*Site,Year2017:SiteDP,-481.9575924870103,535.3209198743405,-0.9003152587426314,0.370382205450006
BEPA.CPRatio1 = Year*Site,Year2017:SiteTN,-276.5538560870101,493.747128488713,-0.5601123330752334,0.5768099629096526
BEPA.CPRatio1 = Year*Site,Year2017:SiteUNI,-372.11238853900915,529.7591808229589,-0.702418008048389,0.48425162237070296
BEPA.CPRatio2 = Year,(Intercept),1043.5976796140844,90.88832488400121,11.4821973113269,1.1795382615934108e-19
BEPA.CPRatio2 = Year,Year2017,-30.23537926408437,175.55261070088582,-0.17222973297503802,0.8636232997658219
BEPA.CPRatio3 = Site,(Intercept),1235.791774049999,178.36321616019026,6.928512507534731,5.460197241824538e-10
BEPA.CPRatio3 = Site,SiteDP,-226.78141782999862,233.92116499344718,-0.9694779770627059,0.33482137574227233
BEPA.CPRatio3 = Site,SiteTN,-446.0433190666656,235.95235650076023,-1.8903956954768895,0.06181881848331398
BEPA.CPRatio3 = Site,SiteUNI,-101.81239725999937,225.61360554366163,-0.45126887190451925,0.6528463110953096
BEPA.CPRatio4 = Null,(Intercept),1035.4933511515464,77.36515227906368,13.384493155476777,1.1235576765445077e-23
