model,term,estimate,std.error,statistic,p.value
BEPA.NPRatio1 = Year*Site,(Intercept),22.49859120090912,2.4324878017278726,9.249210287890309,1.1447204164121471e-14
BEPA.NPRatio1 = Year*Site,Year2017,3.1547017562337394,3.9006582649596893,0.8087613787070222,0.4208091403386287
BEPA.NPRatio1 = Year*Site,SiteDP,5.352823991090882,3.0284228904844346,1.7675285733409016,0.08056722001893225
BEPA.NPRatio1 = Year*Site,SiteTN,1.3418983324242186,3.202519003788816,0.41901338628643703,0.6762159021136234
BEPA.NPRatio1 = Year*Site,SiteUNI,4.098176982290881,2.918985362073447,1.4039731187208893,0.16380677260294904
BEPA.NPRatio1 = Year*Site,Year2017:SiteDP,-8.791947388233735,5.611316814284714,-1.5668242730212807,0.12070458271520873
BEPA.NPRatio1 = Year*Site,Year2017:SiteTN,-2.990596374011514,5.1755338923497805,-0.5778334054448114,0.564835711936616
BEPA.NPRatio1 = Year*Site,Year2017:SiteUNI,2.809889796566271,5.553017803920974,0.5060113069657752,0.6140998056416627
BEPA.NPRatio2 = Year,(Intercept),25.732948656760573,0.9734741619426869,26.434136274770072,1.3981393950700186e-45
BEPA.NPRatio2 = Year,Year2017,0.016745628624051115,1.8802847428094462,0.008905900389868859,0.9929128890085793
BEPA.NPRatio3 = Site,(Intercept),23.725419661666677,1.9106088570904165,12.417727246275353,1.8793386225507335e-21
BEPA.NPRatio3 = Site,SiteDP,2.9985464039333256,2.5057400248714607,1.1966709930680637,0.2344765437639574
BEPA.NPRatio3 = Site,SiteTN,0.17660939000000153,2.5274979442892946,0.06987518640679338,0.9444430343323145
BEPA.NPRatio3 = Site,SiteUNI,3.865447113666671,2.416750282438749,1.5994400173467813,0.11311482125421232
BEPA.NPRatio4 = Null,(Intercept),25.737437175773202,0.8285030347776217,31.064988413327157,6.979905723053083e-52
