model,term,estimate,std.error,statistic,p.value
BEPA.P1 = Year*Site,(Intercept),0.6544230800990686,0.29209562110455967,2.240441255587357,0.027551703228482424
BEPA.P1 = Year*Site,Year2017,-0.4004717615865917,0.46839503072151384,-0.854987212331665,0.3948539723477441
BEPA.P1 = Year*Site,SiteDP,-0.911246815208007,0.36365611557639277,-2.5057926325910573,0.014036057131775888
BEPA.P1 = Year*Site,SiteTN,-0.3873805598705362,0.38456175477894533,-1.0073299153037494,0.31650714134716823
BEPA.P1 = Year*Site,SiteUNI,-0.9952486928860268,0.3505147453254716,-2.839391797802644,0.005599976768562619
BEPA.P1 = Year*Site,Year2017:SiteDP,0.4630913431283894,0.6738126575264592,0.6872701751082864,0.49369955126373644
BEPA.P1 = Year*Site,Year2017:SiteTN,0.5056862346378487,0.6214833989135585,0.8136761746522276,0.41800207737644524
BEPA.P1 = Year*Site,Year2017:SiteUNI,0.4004717615865918,0.6668120527834954,0.6005766691152168,0.5496483354441621
BEPA.P2 = Year,(Intercept),-0.034546807568098005,0.11910455691743192,-0.2900544568756277,0.7724067444206515
BEPA.P2 = Year,Year2017,0.12888616669636568,0.2300528251556322,0.5602459635484736,0.5766304733243062
BEPA.P3 = Site,(Intercept),0.4986840617042838,0.22439637459444545,2.2223356442614643,0.028685089967100983
BEPA.P3 = Site,SiteDP,-0.7429838805048615,0.2942930862958636,-2.5246392630437557,0.013275595655375566
BEPA.P3 = Site,SiteTN,-0.19218611408153027,0.2968485011406976,-0.6474215410993085,0.5189541283957848
BEPA.P3 = Site,SiteUNI,-0.8395096744912427,0.2838414569611164,-2.9576711008999914,0.003929708312304886
BEPA.P4 = Null,(Intercept),-5.636303452481002e-18,0.10153461651336192,-5.551115123125783e-17,1
