model,term,estimate,std.error,statistic,p.value
VAAN.C1 = Year*Site,(Intercept),-0.12346873209132513,0.09480083011509552,-1.30240138131095,0.19444316886870405
VAAN.C1 = Year*Site,Year2017,-2.4334365303642707,0.1954369179803874,-12.45126333095609,4.5168359713025574e-26
VAAN.C1 = Year*Site,SiteDP,0.4764648483962782,0.13020415642475647,3.6593674232790097,3.319963507066692e-4
VAAN.C1 = Year*Site,SiteTN,0.4705187049911405,0.13242354363297534,3.5531348284654625,4.861517973893013e-4
VAAN.C1 = Year*Site,SiteUNI,0.5875945144125775,0.136833211965876,4.294238993374752,2.8617207145449794e-5
VAAN.C1 = Year*Site,Year2017:SiteDP,-0.22834975118266984,0.3409716315405598,-0.6697030780858577,0.5039052596592126
VAAN.C1 = Year*Site,Year2017:SiteTN,2.1209056436843614,0.324285629446941,6.540239378789309,6.153298188135103e-10
VAAN.C1 = Year*Site,Year2017:SiteUNI,2.0424255160517086,0.34355765027437124,5.944928062060592,1.4048077832599239e-8
VAAN.C2 = Year,(Intercept),0.26033828511446133,0.06194354084888197,4.202831829545957,4.0888626926409744e-5
VAAN.C2 = Year,Year2017,-1.7479856286256823,0.1605077238400357,-10.89035210771383,1.1110290827254309e-21
VAAN.C3 = Site,(Intercept),-0.6960420333535052,0.12660848235676728,-5.4975940031580475,1.2718753442076355e-7
VAAN.C3 = Site,SiteDP,0.7774273046026471,0.18086926050966726,4.298283204188223,2.7866638030950248e-5
VAAN.C3 = Site,SiteTN,1.0031944462516298,0.18282135012309184,5.487293719120818,1.3372320275683276e-7
VAAN.C3 = Site,SiteUNI,1.11248354563664,0.18965521463903487,5.865821025559444,2.037526137497263e-8
VAAN.C4 = Null,(Intercept),-1.870437862151111e-15,0.07293249574894728,-2.5646151868841116e-14,0.9999999999999796
