model,term,estimate,std.error,statistic,p.value
VAAN.CNRatio1 = Year*Site,(Intercept),46.803641372307666,1.280272205813415,36.55757046023755,3.1670921535635626e-85
VAAN.CNRatio1 = Year*Site,Year2017,-0.37507392314101745,2.6393487670556137,-0.14210851094129548,0.8871532298997852
VAAN.CNRatio1 = Year*Site,SiteDP,1.15940870496504,1.7583892709548552,0.6593583821945457,0.5105083376611141
VAAN.CNRatio1 = Year*Site,SiteTN,4.6321674691557275,1.7883617907436669,2.5901735840763527,0.01037832993794044
VAAN.CNRatio1 = Year*Site,SiteUNI,2.220277259358983,1.8479137566559285,1.2015048058178326,0.23113392248382708
VAAN.CNRatio1 = Year*Site,Year2017:SiteDP,5.769993829868291,4.604775109060148,1.2530457390884326,0.2118143644651867
VAAN.CNRatio1 = Year*Site,Year2017:SiteTN,-1.9810066883223965,4.379432939791495,-0.45234319501115877,0.6515664311038983
VAAN.CNRatio1 = Year*Site,Year2017:SiteUNI,-3.754269534525649,4.639698937307136,-0.8091623153257037,0.4194900666641658
VAAN.CNRatio2 = Year,(Intercept),48.809034063499986,0.6404723008816902,76.20787658780598,3.2571766766965887e-142
VAAN.CNRatio2 = Year,Year2017,-0.8488946149285707,1.6595879051845652,-0.5115092802716972,0.6096011934269056
VAAN.CNRatio3 = Site,(Intercept),46.71538868450978,1.118622040486481,41.761548578279026,8.38126843886843e-96
VAAN.CNRatio3 = Site,SiteDP,1.7981634240616222,1.5980314864092562,1.1252365421798154,0.261954444610505
VAAN.CNRatio3 = Site,SiteTN,4.419643908681681,1.6152787547275684,2.7361493462019157,0.006825325063063597
VAAN.CNRatio3 = Site,SiteUNI,1.8049514767097081,1.6756578962110833,1.0771598909246196,0.28281905052173517
VAAN.CNRatio4 = Null,(Intercept),48.682602950638284,0.5896880526457708,82.55653600613512,4.537363593628116e-149
