model,term,estimate,std.error,statistic,p.value
VAAN.CPRatio1 = Year*Site,(Intercept),1202.1576804307688,66.39140748212469,18.107127503727636,2.1104252825883612e-42
VAAN.CPRatio1 = Year*Site,Year2017,-39.6233084224355,136.86939284111148,-0.2894972177485531,0.7725340911700856
VAAN.CPRatio1 = Year*Site,SiteDP,590.6166562965025,91.18524800434021,6.477107528055311,8.645623057990441e-10
VAAN.CPRatio1 = Year*Site,SiteTN,653.9484079838646,92.73954072859783,7.05145187097318,3.663540013886551e-11
VAAN.CPRatio1 = Year*Site,SiteUNI,696.0367437914533,95.8277424542071,7.263415853963858,1.1001674997605167e-11
VAAN.CPRatio1 = Year*Site,Year2017:SiteDP,193.5782612951633,238.79101588003408,0.8106597334985787,0.4186316266033392
VAAN.CPRatio1 = Year*Site,Year2017:SiteTN,43.9675091744684,227.10538862444918,0.19359958581685122,0.8467077162595007
VAAN.CPRatio1 = Year*Site,Year2017:SiteUNI,-97.81562619978622,240.60206988984007,-0.40654523980018636,0.6848249812606535
VAAN.CPRatio2 = Year,(Intercept),1688.7598078112496,39.641928288435196,42.60034465336325,6.926715898225772e-98
VAAN.CPRatio2 = Year,Year2017,-129.81201870053576,102.71992190000066,-1.2637472488239394,0.20790233197928187
VAAN.CPRatio3 = Site,(Intercept),1192.8345490372558,57.61191547897221,20.704650055814042,6.068314953366433e-50
VAAN.CPRatio3 = Site,SiteDP,615.6494767586605,82.30273639853161,7.480303859856166,2.9445907245813267e-12
VAAN.CPRatio3 = Site,SiteTN,663.8261181967858,83.19101512774888,7.979541025883726,1.5268166109638586e-13
VAAN.CPRatio3 = Site,SiteUNI,688.599029499329,86.30069638731744,7.979066894302883,1.5311789824956428e-13
VAAN.CPRatio4 = Null,(Intercept),1669.426102898404,36.62925161926476,45.576309345626584,3.2855528439070397e-103
