model,term,estimate,std.error,statistic,p.value
VAAN.N1 = Year*Site,(Intercept),0.2037726526120181,0.15799476685696784,1.2897430507713767,0.19879452999840955
VAAN.N1 = Year*Site,Year2017,-0.11041425670166631,0.3257145560230577,-0.33899085766940656,0.7350117578478865
VAAN.N1 = Year*Site,SiteDP,-0.04145635063151961,0.21699783971471653,-0.19104499236500044,0.8487056586171746
VAAN.N1 = Year*Site,SiteTN,-0.5080413270881337,0.22069666349191513,-2.301989160369635,0.02248063563159722
VAAN.N1 = Year*Site,SiteUNI,-0.26860487199420674,0.22804580293855647,-1.1778549244626015,0.2404093648050049
VAAN.N1 = Year*Site,Year2017:SiteDP,-0.9411407663249328,0.5682622542934092,-1.6561732883264781,0.09942894266129369
VAAN.N1 = Year*Site,Year2017:SiteTN,0.589729923509692,0.5404534154113497,1.0911762359033979,0.2766538008942099
VAAN.N1 = Year*Site,Year2017:SiteUNI,0.5743536186006087,0.5725721050240434,1.0031114222312498,0.3171536836441378
VAAN.N2 = Year,(Intercept),0.0017504699233192949,0.07926847759407495,0.022082799827230902,0.9824055787790761
VAAN.N2 = Year,Year2017,-0.011753155199428279,0.20539999387392918,-0.0572208157252534,0.9544307203754381
VAAN.N3 = Site,(Intercept),0.17779282750574327,0.13944066017357756,1.2750429271090973,0.2039016788446336
VAAN.N3 = Site,SiteDP,-0.1227780584871425,0.1992009431051105,-0.6163527971971365,0.5384234859058152
VAAN.N3 = Site,SiteTN,-0.42087226792125976,0.20135088329353235,-2.0902429680812764,0.03797023975069333
VAAN.N3 = Site,SiteUNI,-0.186047075924646,0.20887738200753375,-0.890699960601458,0.3742533233963715
VAAN.N4 = Null,(Intercept),1.902826396560654e-16,0.07293249574894728,2.609024107869118e-15,0.999999999999998
