model,term,estimate,std.error,statistic,p.value
VAAN.P1 = Year*Site,(Intercept),1.1281579877061163,0.11879186141055628,9.49692996060641,1.3531993113072454e-17
VAAN.P1 = Year*Site,Year2017,-0.08233650920829932,0.24489569602972927,-0.3362105195932232,0.7371037283310677
VAAN.P1 = Year*Site,SiteDP,-1.4245619556260647,0.16315462729925145,-8.731361035891384,1.6915546187696693e-15
VAAN.P1 = Year*Site,SiteTN,-1.5090675571847667,0.16593566979998706,-9.094292740094659,1.7451021908346783e-16
VAAN.P1 = Year*Site,SiteUNI,-1.6878984387701077,0.17146128290730353,-9.844195786652488,1.4509945759494378e-18
VAAN.P1 = Year*Site,Year2017:SiteDP,-0.3201486744977648,0.42726054982558354,-0.7493054873155408,0.45465122661426527
VAAN.P1 = Year*Site,Year2017:SiteTN,0.09082118607183604,0.4063518589861159,0.2235038035717198,0.8233968779374978
VAAN.P1 = Year*Site,Year2017:SiteUNI,0.24021676561520888,0.43050100646144907,0.557993505264244,0.5775421668958136
VAAN.P2 = Year,(Intercept),-0.030072260342922857,0.07906299370886946,-0.38035822996605406,0.7041135225748676
VAAN.P2 = Year,Year2017,0.20191374801676834,0.20486754528852139,0.9855819170010891,0.32561863587799533
VAAN.P3 = Site,(Intercept),1.1087846914218082,0.10321046106480804,10.742948728090449,3.3030724966682563e-21
VAAN.P3 = Site,SiteDP,-1.4462585760464555,0.1474435158068684,-9.808899144407706,1.5517174686070791e-18
VAAN.P3 = Site,SiteTN,-1.4886111106625601,0.1490348473297725,-9.988342574463,4.813607696566973e-19
VAAN.P3 = Site,SiteUNI,-1.6492714526800776,0.15460577191883274,-10.667593015517797,5.4530003463803856e-21
VAAN.P4 = Null,(Intercept),8.906846962624339e-17,0.07293249574894728,1.2212453270876722e-15,0.999999999999999
