model,term,estimate,std.error,statistic,p.value
ABBA.N1 = Year*Site,(Intercept),-0.4811322211850635,0.6081930698353963,-0.7910846819008953,0.43064461040456103
ABBA.N1 = Year*Site,Year2017,0.9695325294250063,0.4074351095304812,2.3795998595758556,0.01910218481730136
ABBA.N1 = Year*Site,SiteDP,0.38737493057583283,0.6232124442801128,0.6215776564335114,0.5355416971504684
ABBA.N1 = Year*Site,SiteTN,0.9874262936246726,0.6569235966953109,1.5031067518231545,0.13575728878196136
ABBA.N1 = Year*Site,SiteUNI,0.017000165743897556,0.6228504271457138,0.027294138372518807,0.9782759729624964
ABBA.N1 = Year*Site,Year2017:SiteDP,-0.29224872841328065,0.538686999406485,-0.5425204780053624,0.5885882032856289
ABBA.N1 = Year*Site,Year2017:SiteTN,0.10342390210897637,0.5773547821912214,0.17913405292401666,0.8581712090079772
ABBA.N2 = Year,(Intercept),-0.18596254179528246,0.09363594407258291,-1.9860166268108708,0.04947443536080509
ABBA.N2 = Year,Year2017,1.1157752507716936,0.22936028456161114,4.864727356370071,3.775413058506112e-6
ABBA.N3 = Site,(Intercept),-0.48113222118506044,0.6437457120503574,-0.7473948364683222,0.45641997582287697
ABBA.N3 = Site,SiteDP,0.48824698604566147,0.6572997397052202,0.7428072103978408,0.45918180020836663
ABBA.N3 = Site,SiteTN,1.3827260315582415,0.6767795014255932,2.0430967968823177,0.043432995095586575
ABBA.N3 = Site,SiteUNI,0.12238413633356866,0.6575912898369685,0.1861097283753719,0.852701489930661
ABBA.N4 = Null,(Intercept),-2.0796382651104705e-16,0.0936585811581694,-2.220446049250313e-15,0.9999999999999982
