model,term,estimate,std.error,statistic,p.value
ABBA.Qty_C1 = Year*Site,(Intercept),-3.5088180328364835,1.2942931235528419,-2.7109917907967853,0.007816198354777794
ABBA.Qty_C1 = Year*Site,Year2017,-3.182171272298164,0.8670609494153266,-3.6700664174115487,3.799925618608217e-4
ABBA.Qty_C1 = Year*Site,SiteDP,3.372556699254536,1.3262557913766022,2.5429157189609346,0.012423325928492664
ABBA.Qty_C1 = Year*Site,SiteTN,3.4101369194619653,1.397996353579722,2.4393031575010466,0.016359918539962038
ABBA.Qty_C1 = Year*Site,SiteUNI,3.367945536545271,1.3254853842297603,2.5409148804023856,0.012490480578558205
ABBA.Qty_C1 = Year*Site,Year2017:SiteDP,3.768952718654817,1.1463775463074997,3.287706332695257,0.0013671225302407243
ABBA.Qty_C1 = Year*Site,Year2017:SiteTN,2.594701888849916,1.228666292831468,2.111803590599374,0.03703113071778286
ABBA.Qty_C2 = Year,(Intercept),-0.15389458535558023,0.20604774425552616,-0.7468879890513667,0.4566962365697561
ABBA.Qty_C2 = Year,Year2017,-0.10346687442535414,0.5047118360775228,-0.20500187835789493,0.8379427641308599
ABBA.Qty_C3 = Site,(Intercept),-3.5088180328364924,1.360317820235269,-2.579410473524222,0.011216095521948917
ABBA.Qty_C3 = Site,SiteDP,3.4848845155103967,1.3889592309813636,2.508989780101872,0.01356522059786389
ABBA.Qty_C3 = Site,SiteTN,3.2313956146629783,1.4301224830327999,2.2595236792657754,0.02582103002522943
ABBA.Qty_C3 = Site,SiteUNI,3.2579238677233295,1.3895753140593323,2.344546448659941,0.020844619329671413
ABBA.Qty_C4 = Null,(Intercept),-0.17041261127680185,0.18556561203698504,-0.9183415472627382,0.3603961170454152
