model,term,estimate,std.error,statistic,p.value
ACRU.P1 = Year*Site,(Intercept),0.14502835207298387,0.7179541859334135,0.2020022376280629,0.8402814311910594
ACRU.P1 = Year*Site,Year2017,0.21863570664270185,1.015340546909565,0.21533239001256532,0.829899812309629
ACRU.P1 = Year*Site,SiteDP,-0.05378438383409924,0.735684119547429,-0.07310798534999749,0.9418505907545578
ACRU.P1 = Year*Site,SiteTN,-0.13578428096756504,0.7547959806284892,-0.17989534185715028,0.8575598084323267
ACRU.P1 = Year*Site,SiteUNI,-0.19706365025394534,0.7414998947893363,-0.26576355794350054,0.7909098992648574
ACRU.P1 = Year*Site,Year2017:SiteDP,-0.1700985797680237,1.0769312789001175,-0.15794747826597383,0.8747826054152406
ACRU.P1 = Year*Site,Year2017:SiteTN,-0.2392974202061291,1.0953179698379145,-0.21847301586911827,0.8274581726655209
ACRU.P1 = Year*Site,Year2017:SiteUNI,-0.7386971741767946,1.0927693536820697,-0.6759863567620795,0.5004427826289529
ACRU.P2 = Year,(Intercept),0.02807026197006,0.10514041732566315,0.2669787954437621,0.7899515121117009
ACRU.P2 = Year,Year2017,-0.11615280815197393,0.2138756392319799,-0.54308573229319,0.5880951857935672
ACRU.P3 = Site,(Intercept),0.2543462053943363,0.5026654997416332,0.5059949519612318,0.6138204458599545
ACRU.P3 = Site,SiteDP,-0.15339481178051595,0.5223853108587055,-0.29364304200737007,0.7695554090988982
ACRU.P3 = Site,SiteTN,-0.2517433993628759,0.537372022909913,-0.46847135435087406,0.6403266762293112
ACRU.P3 = Site,SiteUNI,-0.4158681283193174,0.5284597628082963,-0.7869437894558823,0.43291961369710685
ACRU.P4 = Null,(Intercept),-3.851263231509141e-16,0.09128709291752768,-4.218847493575595e-15,0.9999999999999967
