model,term,estimate,std.error,statistic,p.value
ACRU.Qty_N1 = Year*Site,(Intercept),-4.827081247130445,1.2948687046106486,-3.7278538201924416,3.045449929907583e-4
ACRU.Qty_N1 = Year*Site,Year2017,-0.23445344525640557,1.8312208835528543,-0.12803122078944912,0.8983538720768984
ACRU.Qty_N1 = Year*Site,SiteDP,0.8119603601894777,1.3268455864527193,0.611947892414692,0.5418125246940744
ACRU.Qty_N1 = Year*Site,SiteTN,1.2292171519385213,1.3613148482602218,0.9029631561790992,0.36848338361180233
ACRU.Qty_N1 = Year*Site,SiteUNI,0.8235808141756604,1.3373346475952552,0.6158374911295332,0.5392512969541816
ACRU.Qty_N1 = Year*Site,Year2017:SiteDP,0.16376576647550142,1.9423030569159676,0.08431524930796967,0.9329563132569798
ACRU.Qty_N1 = Year*Site,Year2017:SiteTN,-0.5204094668566257,1.9754644356545679,-0.26343651521328887,0.7926982010678629
ACRU.Qty_N1 = Year*Site,Year2017:SiteUNI,0.9499302156083174,1.9708678703514797,0.48198574338669853,0.6307566105392935
ACRU.Qty_N2 = Year,(Intercept),-3.920043772768137,0.19761042768165393,-19.837231358474877,2.1842666026763826e-39
ACRU.Qty_N2 = Year,Year2017,0.03394464516133103,0.4019772568374871,0.08444419325706852,0.9328463710408477
ACRU.Qty_N3 = Site,(Intercept),-4.937452597199113,0.9026173901468457,-5.470150089171055,2.624427261612873e-7
ACRU.Qty_N3 = Site,SiteDP,0.9085882709369594,0.938027507717734,0.9686158065317277,0.3347521538954852
ACRU.Qty_N3 = Site,SiteTN,1.1528576215843755,0.9649385786495885,1.1947471549927828,0.23462293265885867
ACRU.Qty_N3 = Site,SiteUNI,1.1328308951859036,0.9489351709015614,1.1937916624057965,0.23499511323090816
ACRU.Qty_N4 = Null,(Intercept),-3.911734285445102,0.17132198853951172,-22.832645819675065,2.6370048648145827e-45
