model,term,estimate,std.error,statistic,p.value
BEPA.C1 = Year*Site,(Intercept),49.369090909090936,0.32107755131183496,153.76064351862144,9.54116554703013e-112
BEPA.C1 = Year*Site,Year2017,-0.22623376623378139,0.5148695106828076,-0.43940020051635137,0.6614132562822284
BEPA.C1 = Year*Site,SiteDP,1.0479090909090762,0.39973832770004236,2.6214876540320433,0.010261113164351672
BEPA.C1 = Year*Site,SiteTN,1.0729090909090775,0.4227182389304181,2.5381187564175214,0.012844981006372921
BEPA.C1 = Year*Site,SiteUNI,1.392109090909076,0.3852930615742021,3.6131174675746793,4.953629537891483e-4
BEPA.C1 = Year*Site,Year2017:SiteDP,-2.905051948051937,0.6955504070742295,-4.176623172821905,6.773616283907959e-5
BEPA.C1 = Year*Site,Year2017:SiteTN,-0.3379884559884409,0.6831474129928572,-0.49475186403432203,0.6219676902668235
BEPA.C1 = Year*Site,Year2017:SiteUNI,-0.3349662337662189,0.7329736073527214,-0.4569963098344229,0.6487627621299108
BEPA.C2 = Year,(Intercept),50.3811267605634,0.1489040124532709,338.3463341954873,7.945866215793209e-151
BEPA.C2 = Year,Year2017,-1.2775553319919533,0.27999158708940974,-4.562834709687157,1.4781505746609979e-5
BEPA.C3 = Site,(Intercept),49.28111111111113,0.3033499940979255,162.45627845703044,5.760777357113931e-118
BEPA.C3 = Site,SiteDP,0.32407407407406535,0.3916231584044616,0.827515092300459,0.4100190549904418
BEPA.C3 = Site,SiteTN,0.9493055555555462,0.40129432229801093,2.365609236929519,0.02003230148996434
BEPA.C3 = Site,SiteUNI,1.3865555555555478,0.38371076381923214,3.6135435497159007,4.85287183800916e-4
BEPA.C4 = Null,(Intercept),50.01979797979799,0.13826538106433361,361.76660849416993,5.4142251799214695e-155
