model,term,estimate,std.error,statistic,p.value
BEPA.Qty_C1 = Year*Site,(Intercept),0.07126536472727284,0.05845662968742616,1.2191151817738441,0.2259511768935524
BEPA.Qty_C1 = Year*Site,Year2017,0.036916501272727206,0.09373914868965737,0.3938215973663985,0.6946340403551594
BEPA.Qty_C1 = Year*Site,SiteDP,0.051863339222727234,0.07277791704452637,0.7126246714507732,0.4779013301171864
BEPA.Qty_C1 = Year*Site,SiteTN,0.025617007472727247,0.07696172919693481,0.33285384489187786,0.7400102216298501
BEPA.Qty_C1 = Year*Site,SiteUNI,0.04969353295272721,0.07014795562491143,0.7084102809559242,0.4805012482452218
BEPA.Qty_C1 = Year*Site,Year2017:SiteDP,-0.1232254680798702,0.12663461649421778,-0.9730788586191734,0.3330936289577502
BEPA.Qty_C1 = Year*Site,Year2017:SiteTN,-0.06039870313939388,0.12437647907829501,-0.48561193874424513,0.6284095142809087
BEPA.Qty_C1 = Year*Site,Year2017:SiteUNI,-0.10237855735272727,0.1334480301117694,-0.7671792327468612,0.4449608646275929
BEPA.Qty_C2 = Year,(Intercept),0.1087845227605634,0.02243066937949042,4.849811698443159,4.705942455672726e-6
BEPA.Qty_C2 = Year,Year2017,-0.03903105979627767,0.04217749821222759,-0.9254000699586837,0.35705442352784356
BEPA.Qty_C3 = Site,(Intercept),0.08562178188888893,0.04515086681683346,1.8963485736882204,0.06095260218340353
BEPA.Qty_C3 = Site,SiteDP,0.015130523259259251,0.058289518416141745,0.2595753691296453,0.7957530307581957
BEPA.Qty_C3 = Site,SiteTN,0.002454764611111102,0.05972898253816989,0.04109838317674977,0.9673037152021063
BEPA.Qty_C3 = Site,SiteUNI,0.02442677311111111,0.057111830988844134,0.42770075285946413,0.669836968331311
BEPA.Qty_C4 = Null,(Intercept),0.09774543514141418,0.018981709106028942,5.149453855573438,1.3494613380775278e-6
