model,term,estimate,std.error,statistic,p.value
BEPA.Qty_P1 = Year*Site,(Intercept),2.441873636363635e-4,1.526624082522113e-4,1.5995251642627384,0.11317033033167243
BEPA.Qty_P1 = Year*Site,Year2017,-7.67093636363633e-5,2.448044689369655e-4,-0.31334952327244947,0.754732215095486
BEPA.Qty_P1 = Year*Site,SiteDP,4.9861686363636536e-5,1.9006316551271985e-4,0.26234271237737317,0.7936502048231897
BEPA.Qty_P1 = Year*Site,SiteTN,1.0344696969697002e-4,2.0098939992405687e-4,0.5146886837617163,0.6080184320082125
BEPA.Qty_P1 = Year*Site,SiteUNI,4.674775636363644e-5,1.8319488990265365e-4,0.2551804604837904,0.7991595713557484
BEPA.Qty_P1 = Year*Site,Year2017:SiteDP,-7.762268636363692e-5,3.3071262618927235e-4,-0.2347134043778908,0.8149585028611956
BEPA.Qty_P1 = Year*Site,Year2017:SiteTN,1.3423696969696146e-5,3.2481538753691554e-4,0.0413271583944604,0.9671256219075905
BEPA.Qty_P1 = Year*Site,Year2017:SiteUNI,-7.435495636363649e-5,3.4850619617159335e-4,-0.2133533268000391,0.8315286486177073
BEPA.Qty_P2 = Year,(Intercept),2.9654838028169014e-4,5.843039328795218e-5,5.075241900568137,1.8654992936713296e-6
BEPA.Qty_P2 = Year,Year2017,-1.0337491599597586e-4,1.0986956148066345e-4,-0.9408876726441598,0.34909970287684033
BEPA.Qty_P3 = Site,(Intercept),2.1435594444444456e-4,1.1746694181010975e-4,1.8248193163227144,0.07117110894147981
BEPA.Qty_P3 = Site,SiteDP,3.968109259259254e-5,1.5164916978682372e-4,0.26166376412329223,0.7941471597912285
BEPA.Qty_P3 = Site,SiteTN,1.0954626388888863e-4,1.5539415765042282e-4,0.7049574163227272,0.4825615415148645
BEPA.Qty_P3 = Site,SiteUNI,5.1401788888888864e-5,1.485852343577637e-4,0.34594143294968044,0.7301516716626453
BEPA.Qty_P4 = Null,(Intercept),2.673110303030303e-4,4.9453384514402925e-5,5.405313163655725,4.554477390665977e-7
