model,term,estimate,std.error,statistic,p.value
BEPA.Qty_P1 = Year*Site,(Intercept),-8.317574743375403,0.5414591210590494,-15.361408497666293,5.20436972345958e-27
BEPA.Qty_P1 = Year*Site,Year2017,-0.37708381523361834,0.8682662228343088,-0.43429515661992674,0.6651021408706617
BEPA.Qty_P1 = Year*Site,SiteDP,0.18581077556880227,0.6741111693600397,0.2756381795975874,0.7834509284360368
BEPA.Qty_P1 = Year*Site,SiteTN,0.35321534646015995,0.712864057831927,0.4954876635727903,0.6214503674789569
BEPA.Qty_P1 = Year*Site,SiteUNI,0.17516447239792504,0.6497509452708596,0.26958709898437283,0.7880882876267699
BEPA.Qty_P1 = Year*Site,Year2017:SiteDP,-0.36704382673040026,1.172963075518492,-0.3129201885303624,0.755057323783966
BEPA.Qty_P1 = Year*Site,Year2017:SiteTN,0.17613383886948614,1.1520469004500018,0.15288773295660651,0.87882530731093
BEPA.Qty_P1 = Year*Site,Year2017:SiteUNI,-0.35529733238155525,1.2360728539730097,-0.28744044595717116,0.7744286457314247
BEPA.Qty_P2 = Year,(Intercept),-8.123300181471972,0.2132649251663904,-38.09018372399555,3.781023673141979e-60
BEPA.Qty_P2 = Year,Year2017,-0.42862181256466975,0.4010125978746261,-1.068848746489195,0.2877905287171177
BEPA.Qty_P3 = Site,(Intercept),-8.447872632883623,0.4411877368164807,-19.14802232229237,2.2282809266068442e-34
BEPA.Qty_P3 = Site,SiteDP,0.1698421464144102,0.5695709190803907,0.29819314983396866,0.7662069610583264
BEPA.Qty_P3 = Site,SiteTN,0.4128037190213156,0.5836365165539114,0.707295906463701,0.48111408251550214
BEPA.Qty_P3 = Site,SiteUNI,0.21494719175588348,0.5580632496300016,0.38516636223294476,0.7009751851266397
BEPA.Qty_P4 = Null,(Intercept),-8.227097670040251,0.18500315702774534,-44.47003933455263,8.824804753669794e-67
