model,term,estimate,std.error,statistic,p.value
VAAN.N1 = Year*Site,(Intercept),0.20298513850468575,0.1586417605970872,1.279518947222354,0.2023342287896706
VAAN.N1 = Year*Site,Year2017,-0.11108670003006384,0.327048367787871,-0.3396644379589643,0.7344987559791549
VAAN.N1 = Year*Site,SiteDP,-0.041708827505744075,0.21788645296886305,-0.19142460183930965,0.8484051699895546
VAAN.N1 = Year*Site,SiteTN,-0.5111353931187019,0.2216004235504606,-2.3065632498771436,0.02219938131375934
VAAN.N1 = Year*Site,SiteUNI,-0.2702407255473923,0.22897965796361147,-1.180195341152697,0.23945434423644035
VAAN.N1 = Year*Site,Year2017:SiteDP,-0.7057932759485935,0.5411605920514293,-1.3042214941651153,0.19379607615483777
VAAN.N1 = Year*Site,Year2017:SiteTN,0.52874669922103,0.503577515767097,1.0499807530437355,0.29511157874684557
VAAN.N1 = Year*Site,Year2017:SiteUNI,0.5778515388013763,0.5749168065295882,1.0051046207702699,0.3161736286494468
VAAN.N2 = Year,(Intercept),-2.6739679422426745e-4,0.07926579623126351,-0.0033734196455192174,0.9973119636194759
VAAN.N2 = Year,Year2017,0.0016475092805402225,0.1967531360053107,0.008373484224900758,0.9933278361152507
VAAN.N3 = Site,(Intercept),0.17684709143878927,0.13941980860332995,1.268450252588895,0.20621401265697517
VAAN.N3 = Site,SiteDP,-0.1135963775572865,0.198152778740542,-0.5732767326267362,0.5671460849184216
VAAN.N3 = Site,SiteTN,-0.41680795842979135,0.19917115514761427,-2.0927124619068316,0.037724227800435495
VAAN.N3 = Site,SiteUNI,-0.18718013716792112,0.20884614706215535,-0.8962585127903454,0.37126701864073797
VAAN.N4 = Null,(Intercept),-4.61914282427081e-16,0.07235746052924216,-6.38378239159465e-15,0.9999999999999949
