model,term,estimate,std.error,statistic,p.value
VAAN.P1 = Year*Site,(Intercept),0.11471794871794856,0.0029852449945103506,38.428319594842826,1.4993735868490253e-89
VAAN.P1 = Year*Site,Year2017,-0.0020512820512819815,0.006154240215356309,-0.3333119897015946,0.7392803664881242
VAAN.P1 = Year*Site,SiteDP,-0.03549067599067583,0.0041000833617126165,-8.656086440118445,2.484161124989649e-15
VAAN.P1 = Year*Site,SiteTN,-0.03759599749843639,0.004169971088921036,-9.01588924640823,2.602947357555943e-16
VAAN.P1 = Year*Site,SiteUNI,-0.042051282051281974,0.00430883000294384,-9.759327247199838,2.2272076623810148e-18
VAAN.P1 = Year*Site,Year2017:SiteDP,-0.0018426573426573896,0.01018330194122574,-0.1809489056980268,0.856607926048358
VAAN.P1 = Year*Site,Year2017:SiteTN,0.0031793308317698103,0.00947608153511179,0.3355111308391991,0.7376238691717971
VAAN.P1 = Year*Site,Year2017:SiteUNI,0.005984615384615345,0.010818510286905128,0.5531829453320579,0.5808133050042279
VAAN.P2 = Year,(Intercept),0.08586249999999995,0.001965769489363693,43.67882422867042,1.0498998702519729e-100
VAAN.P2 = Year,Year2017,0.004879435483870981,0.004879422526299141,1.0000026555543755,0.31858779953968397
VAAN.P3 = Site,(Intercept),0.11423529411764702,0.002586408093182661,44.167544332525154,7.094101194937337e-101
VAAN.P3 = Site,SiteDP,-0.03547529411764715,0.003675976575748434,-9.650576761475781,3.878007202948066e-18
VAAN.P3 = Site,SiteTN,-0.03692917166866752,0.0036948687045466598,-9.994718248912319,4.0785485094914477e-19
VAAN.P3 = Site,SiteUNI,-0.041088952654232486,0.0038743516463174473,-10.60537514535815,7.1115783736858e-21
VAAN.P4 = Null,(Intercept),0.08665445026178006,0.0017991853405643836,48.163159352219694,1.97964637636783e-108
