model,term,estimate,std.error,statistic,p.value
VAAN.P1 = Year*Site,(Intercept),1.1286238477341548,0.12005697355929004,9.400735453128716,2.2481029321007845e-17
VAAN.P1 = Year*Site,Year2017,-0.08249598121637709,0.24750379153847035,-0.33331198970159803,0.7392803664881216
VAAN.P1 = Year*Site,SiteDP,-1.4273210931931517,0.16489219499679822,-8.656086440118445,2.484161124989649e-15
VAAN.P1 = Year*Site,SiteTN,-1.5119903679279958,0.16770285510443086,-9.01588924640823,2.602947357555943e-16
VAAN.P1 = Year*Site,SiteUNI,-1.6911676149357668,0.17328731500636996,-9.759327247199833,2.2272076623810787e-18
VAAN.P1 = Year*Site,Year2017:SiteDP,-0.07410576494494177,0.4095397242612365,-0.1809489056980253,0.8566079260483593
VAAN.P1 = Year*Site,Year2017:SiteTN,0.12786248308193993,0.3810975891086611,0.33551113083920064,0.737623869171796
VAAN.P1 = Year*Site,Year2017:SiteUNI,0.24068202519878468,0.4350857654411429,0.5531829453320587,0.5808133050042275
VAAN.P2 = Year,(Intercept),-0.03184969803605731,0.07905694039926063,-0.40287035996089704,0.6874989306889108
VAAN.P2 = Year,Year2017,0.1962352362866769,0.19623471517472102,1.0000026555543724,0.3185877995396855
VAAN.P3 = Site,(Intercept),1.1092130286244248,0.10401703331813018,10.663763359140995,4.813711395679059e-21
VAAN.P3 = Site,SiteDP,-1.4267024836227844,0.1478359810905862,-9.650576761475781,3.878007202948066e-18
VAAN.P3 = Site,SiteTN,-1.4851727730034816,0.14859576188304316,-9.994718248912323,4.0785485094913885e-19
VAAN.P3 = Site,SiteUNI,-1.6524658148525726,0.15581398981212255,-10.60537514535815,7.1115783736858e-21
VAAN.P4 = Null,(Intercept),1.686991292342383e-16,0.07235746052924216,2.3314683517128287e-15,0.9999999999999982
