model,term,estimate,std.error,statistic,p.value
VAAN.Qty_N1 = Year*Site,(Intercept),0.045326768666666704,0.015867515925768873,2.8565762201666334,0.004777939473864708
VAAN.Qty_N1 = Year*Site,Year2017,-0.011348154583333363,0.03271172208905781,-0.3469140069250394,0.7290545280792897
VAAN.Qty_N1 = Year*Site,SiteDP,0.029519714992424128,0.021793232434387168,1.3545358670999845,0.17723549475674932
VAAN.Qty_N1 = Year*Site,SiteTN,-0.03902361244715444,0.022164707682326507,-1.7606193145633375,0.07997327034059323
VAAN.Qty_N1 = Year*Site,SiteUNI,0.008214253,0.022902786477783363,0.3586573628483224,0.7202648554613851
VAAN.Qty_N1 = Year*Site,Year2017:SiteDP,0.08452143459090913,0.05412745219452783,1.5615261972270342,0.12012731264231134
VAAN.Qty_N1 = Year*Site,Year2017:SiteTN,0.014023878863821119,0.050368353334073176,0.27842639148447695,0.780999413821159
VAAN.Qty_N1 = Year*Site,Year2017:SiteUNI,-0.021909560083333324,0.05750378430790006,-0.3810107516754044,0.7036372246559923
VAAN.Qty_N2 = Year,(Intercept),0.045293096525000014,0.008088754718742373,5.599514152660833,7.488253083005733e-8
VAAN.Qty_N2 = Year,Year2017,0.002097533474999998,0.020077863756607445,0.10446995260189065,0.9169071924343888
VAAN.Qty_N3 = Site,(Intercept),0.04265661464705883,0.013857134790580428,3.0783141891681125,0.002394955820862047
VAAN.Qty_N3 = Site,SiteDP,0.040970662612941244,0.019694688951611198,2.080289905243184,0.03886204042209435
VAAN.Qty_N3 = Site,SiteTN,-0.03591660548379355,0.01979590684368633,-1.8143450445286735,0.07122727489901408
VAAN.Qty_N3 = Site,SiteUNI,0.006828588157819237,0.02075751816994352,0.3289693932537127,0.7425469533591861
VAAN.Qty_N4 = Null,(Intercept),0.04563353389528797,0.0073839987499505514,6.180057099223313,3.822908745180478e-9
