model,term,estimate,std.error,statistic,p.value
VAAN.Qty_N1 = Year*Site,(Intercept),-3.0938575012235345,0.30571043917673846,-10.120221964140722,2.1192380705822012e-19
VAAN.Qty_N1 = Year*Site,Year2017,-0.28816644859340995,0.6302382157898295,-0.45723417173659153,0.6480450692871406
VAAN.Qty_N1 = Year*Site,SiteDP,0.5015413535010492,0.4198778617752929,1.1944934447852846,0.23383090261845857
VAAN.Qty_N1 = Year*Site,SiteTN,-1.9728472825891568,0.42703486490811443,-4.619874030692216,7.223710952443371e-6
VAAN.Qty_N1 = Year*Site,SiteUNI,0.16655034245765105,0.44125501088192226,0.3774469147098686,0.7062788860849303
VAAN.Qty_N1 = Year*Site,Year2017:SiteDP,0.9700731204707168,1.0428429540779052,0.9302197580924039,0.35348278083837237
VAAN.Qty_N1 = Year*Site,Year2017:SiteTN,0.6419911620423551,0.9704185261514097,0.6615611148608558,0.5090846540913972
VAAN.Qty_N1 = Year*Site,Year2017:SiteUNI,-0.6824834391325,1.10789283195509,-0.6160193652739198,0.5386471988561977
VAAN.Qty_N2 = Year,(Intercept),-3.0946006526455663,0.17646730112789394,-17.536397014440468,1.6786684363554172e-41
VAAN.Qty_N2 = Year,Year2017,0.045269904938492776,0.4380261922558269,0.10334976706610532,0.9177949586335552
VAAN.Qty_N3 = Site,(Intercept),-3.1545729256968653,0.26935755227833225,-11.711470122200938,4.0784484881227725e-24
VAAN.Qty_N3 = Site,SiteDP,0.6731873966010121,0.38282901112394396,1.75845449806588,0.08030603461904874
VAAN.Qty_N3 = Site,SiteTN,-1.84512106882707,0.3847965032547605,-4.79505674615104,3.31012879680522e-6
VAAN.Qty_N3 = Site,SiteUNI,0.14849133836744843,0.403488482296476,0.3680187784352657,0.7132754649537119
VAAN.Qty_N4 = Null,(Intercept),-3.087112440197274,0.16181080269196105,-19.07853115390698,5.022363353427265e-46
