model,term,estimate,std.error,statistic,p.value
VAAN.Qty_P1 = Year*Site,(Intercept),0.004110405076923077,0.0012960235552279724,3.1715512116599234,0.001778243434928006
VAAN.Qty_P1 = Year*Site,Year2017,-0.0010340789102564144,0.0026718210057467334,-0.38703150698802335,0.699182591221399
VAAN.Qty_P1 = Year*Site,SiteDP,7.584422185314639e-4,0.0017800229545479663,0.42608563928551635,0.6705461791429481
VAAN.Qty_P1 = Year*Site,SiteTN,-0.0037232604671669743,0.0018103642300044272,-2.0566361207644217,0.041140389406140766
VAAN.Qty_P1 = Year*Site,SiteUNI,-8.364001324786311e-4,0.0018706488712174167,-0.4471176527823218,0.6553188483904528
VAAN.Qty_P1 = Year*Site,Year2017:SiteDP,0.009813574614801876,0.004421010406213592,2.219758316110092,0.0276634102930388
VAAN.Qty_P1 = Year*Site,Year2017:SiteTN,0.0012429058005003124,0.004113975537468452,0.3021179365750771,0.762905242672861
VAAN.Qty_P1 = Year*Site,Year2017:SiteUNI,-0.0011998530341880333,0.0046967817348622515,-0.25546280451612746,0.7986525667158737
VAAN.Qty_P2 = Year,(Intercept),0.0031767011625000014,6.599809062647745e-4,4.81332282850249,3.0303883011581923e-6
VAAN.Qty_P2 = Year,Year2017,9.773023536290325e-4,0.0016382010802284159,0.5965704487832265,0.5515080978260338
VAAN.Qty_P3 = Site,(Intercept),0.0038670923921568616,0.0011414965890405183,3.3877388940840683,8.59202028129792e-4
VAAN.Qty_P3 = Site,SiteDP,0.0020552943878431418,0.0016223714786811636,1.2668457346858095,0.20678601266009333
VAAN.Qty_P3 = Site,SiteTN,-0.0034458535962384944,0.001630709412915027,-2.11310094180345,0.03591871607345463
VAAN.Qty_P3 = Site,SiteUNI,-8.655181726446674e-4,0.0017099231945152079,-0.5061737131942095,0.6133309209305191
VAAN.Qty_P4 = Null,(Intercept),0.0033353209162303677,6.030277460328839e-4,5.5309576353199645,1.0436983371326121e-7
