model,term,estimate,std.error,statistic,p.value
ABBA.CNRatio1 = Year*Site,(Intercept),78.03427814499982,8.529370633706122,9.148890521491257,4.2962580546790966e-15
ABBA.CNRatio1 = Year*Site,Year2017,-15.223560217268286,5.713917554684824,-2.6642946930143463,0.008908598023743754
ABBA.CNRatio1 = Year*Site,SiteDP,-6.99956800049984,8.740004094820819,-0.8008655287298627,0.4249842305079642
ABBA.CNRatio1 = Year*Site,SiteTN,-15.133249144166534,9.212773232944015,-1.642637755377659,0.10339359917200798
ABBA.CNRatio1 = Year*Site,SiteUNI,-0.07856388573155895,8.734927124253105,-0.008994223376337178,0.992840492824604
ABBA.CNRatio1 = Year*Site,Year2017:SiteDP,2.6541309556254236,7.554609385372407,0.35132603424400444,0.7260346172593235
ABBA.CNRatio1 = Year*Site,Year2017:SiteTN,3.2321674978635366,8.096890886613318,0.3991862485398335,0.6905515852687094
ABBA.CNRatio2 = Year,(Intercept),73.14161678642101,1.3164961444806724,55.55779034603531,2.3009047036431294e-83
ABBA.CNRatio2 = Year,Year2017,-16.337133083263158,3.224743802319008,-5.066180163371318,1.6131829267644508e-6
ABBA.CNRatio3 = Site,(Intercept),78.03427814499979,9.09003026823089,8.584600473523713,6.670714998599958e-14
ABBA.CNRatio3 = Site,SiteDP,-8.871610656489183,9.281420314537721,-0.9558462342873706,0.34124588216284135
ABBA.CNRatio3 = Site,SiteTN,-19.551130672368238,9.556484863072164,-2.045849593496144,0.04315642719539641
ABBA.CNRatio3 = Site,SiteUNI,-1.733298691956345,9.285537156751484,-0.186666496799926,0.8522659615644325
ABBA.CNRatio4 = Null,(Intercept),70.41876127254382,1.3264881661272772,53.08661100093607,9.857977407772778e-82
