model,term,estimate,std.error,statistic,p.value
ABBA.N1 = Year*Site,(Intercept),0.8099999999999998,0.11343519114746972,7.140641204958799,1.1731171760562035e-10
ABBA.N1 = Year*Site,Year2017,0.18082926829268298,0.0759914603142204,2.3795998595758543,0.01910218481730143
ABBA.N1 = Year*Site,SiteDP,0.07224999999999994,0.11623648188153372,0.6215776564335105,0.535541697150469
ABBA.N1 = Year*Site,SiteTN,0.1841666666666669,0.12252400998351362,1.5031067518231545,0.13575728878196136
ABBA.N1 = Year*Site,SiteUNI,0.003170731707317082,0.11616896141003226,0.027294138372517637,0.9782759729624974
ABBA.N1 = Year*Site,Year2017:SiteDP,-0.0545078397212543,0.1004714880471583,-0.5425204780053616,0.5885882032856296
ABBA.N1 = Year*Site,Year2017:SiteTN,0.01928977932636458,0.10768348625789512,0.1791340529240183,0.8581712090079758
ABBA.N2 = Year,(Intercept),0.8650526315789473,0.017464209542903703,49.53288206109777,5.350524540770735e-78
ABBA.N2 = Year,Year2017,0.2081052631578948,0.04277840214115872,4.864727356370071,3.775413058506112e-6
ABBA.N3 = Site,(Intercept),0.8100000000000009,0.120066178847713,6.746279491640785,7.3738118431910855e-010
ABBA.N3 = Site,SiteDP,0.09106382978723311,0.1225941650976444,0.742807210397837,0.45918180020836885
ABBA.N3 = Site,SiteTN,0.2578947368421043,0.12622737074212126,2.043096796882314,0.04343299509558696
ABBA.N3 = Site,SiteUNI,0.022826086956520796,0.12264854264083622,0.1861097283753682,0.8527014899306637
ABBA.N4 = Null,(Intercept),0.8997368421052632,0.017468431626741686,51.50644667652326,2.620497096092019e-80
