model,term,estimate,std.error,statistic,p.value
ABBA.Qty_N1 = Year*Site,(Intercept),5.632009999999112e-4,0.021330537000599833,0.026403507796548844,0.9789846770877548
ABBA.Qty_N1 = Year*Site,Year2017,-0.012274662892682931,0.014289557231448705,-0.8589953274177482,0.3922633978081993
ABBA.Qty_N1 = Year*Site,SiteDP,0.01425845942500007,0.021857296245662582,0.6523432388317267,0.5155787544367045
ABBA.Qty_N1 = Year*Site,SiteTN,0.01658603025000008,0.023039613209780336,0.7198918705353654,0.4731611408929868
ABBA.Qty_N1 = Year*Site,SiteUNI,0.012440629292683006,0.021844599586882438,0.5695059432516921,0.5702065189412192
ABBA.Qty_N1 = Year*Site,Year2017:SiteDP,0.029784680610540074,0.018892821280735668,1.5765078263303345,0.11786088557254165
ABBA.Qty_N1 = Year*Site,Year2017:SiteTN,0.005938831071254375,0.020248977100867267,0.293290423593793,0.7698682470670617
ABBA.Qty_N2 = Year,(Intercept),0.01403095406315789,0.0030830785553110952,4.550955744863306,1.3629361682985663e-5
ABBA.Qty_N2 = Year,Year2017,0.0020564869894736837,0.007551969297429306,0.2723113546255694,0.785884014241975
ABBA.Qty_N3 = Site,(Intercept),5.632009999998154e-4,0.021324732775242664,0.02641069437707908,0.9789776183233769
ABBA.Qty_N3 = Site,SiteDP,0.016866334404255504,0.02177372375468951,0.7746187374414044,0.44022684684372015
ABBA.Qty_N3 = Site,SiteTN,0.01425177642105279,0.02241901071417742,0.635700504484803,0.5262919905960601
ABBA.Qty_N3 = Site,SiteUNI,0.011106426804347997,0.02178338164993252,0.5098577889710895,0.6111725570478583
ABBA.Qty_N4 = Null,(Intercept),0.014373701894736836,0.0028028991980766256,5.128155127590817,1.2233395844156255e-6
