model,term,estimate,std.error,statistic,p.value
ABBA.Qty_P1 = Year*Site,(Intercept),-9.530387246473973,1.284845920637638,-7.417533179187955,2.9748248847977365e-11
ABBA.Qty_P1 = Year*Site,Year2017,-2.6896046843543124,0.8607321660973014,-3.124787001454139,0.0022904082247258164
ABBA.Qty_P1 = Year*Site,SiteDP,2.871509949491043,1.3165752890617899,2.1810449986018816,0.031369440556916435
ABBA.Qty_P1 = Year*Site,SiteTN,3.33263717081367,1.3877922081766088,2.401394928706476,0.01805712455740872
ABBA.Qty_P1 = Year*Site,SiteUNI,2.554572797600514,1.3158105052104063,1.9414442942086267,0.0548342845233356
ABBA.Qty_P1 = Year*Site,Year2017:SiteDP,3.557407576054204,1.138009997179469,3.1259897407502173,0.002281851194334202
ABBA.Qty_P1 = Year*Site,Year2017:SiteTN,2.04374663095147,1.2196981081349538,1.675616791827752,0.09673321656069435
ABBA.Qty_P2 = Year,(Intercept),-6.724039265071029,0.2290071948291103,-29.361694378592077,1.9795866536403722e-54
ABBA.Qty_P2 = Year,Year2017,0.24477435279526258,0.5609507747574545,0.43635620772802897,0.6634183067303916
ABBA.Qty_P3 = Site,(Intercept),-9.530387246474023,1.3942232960182077,-6.835624733636327,4.76677044952776e-10
ABBA.Qty_P3 = Site,SiteDP,3.0586374244735537,1.4235785845390367,2.148555378461217,0.033862837377185304
ABBA.Qty_P3 = Site,SiteTN,3.139913559209738,1.4657678171553206,2.142162982745456,0.03438598864564868
ABBA.Qty_P3 = Site,SiteUNI,2.4477508013447093,1.4242100232857835,1.7186726404982906,0.0884871768889605
ABBA.Qty_P4 = Null,(Intercept),-6.67885351681945,0.21174877121822822,-31.541403892900163,7.636709026800432e-58
