model,term,estimate,std.error,statistic,p.value
ACRU.C1 = Year*Site,(Intercept),50.27499999999995,0.41699412704106414,120.56524718164445,2.2421098574444396e-120
ACRU.C1 = Year*Site,Year2017,-1.7749999999999468,0.5897187498914004,-3.009909385324482,0.0032291901153880934
ACRU.C1 = Year*Site,SiteDP,-0.14274999999994764,0.42729182894840845,-0.33408080924754446,0.7389433158070933
ACRU.C1 = Year*Site,SiteTN,-0.1271052631578426,0.43839216652394,-0.28993506924558965,0.7724020059609691
ACRU.C1 = Year*Site,SiteUNI,-0.20066666666661323,0.43066968253235716,-0.4659410095613979,0.6421626032914001
ACRU.C1 = Year*Site,Year2017:SiteDP,-0.8972500000000534,0.6254911905615945,-1.434472640924745,0.1542237600285159
ACRU.C1 = Year*Site,Year2017:SiteTN,1.2382163742689527,0.6361703429183879,1.9463597887772004,0.05411630529360574
ACRU.C1 = Year*Site,Year2017:SiteUNI,1.78816666666661,0.6346900841638721,2.8173855418307108,0.00572451424903692
ACRU.C2 = Year,(Intercept),50.11956043956044,0.08410279713939132,595.9321466620505,4.211646646415342e-207
ACRU.C2 = Year,Year2017,-1.1954225085259567,0.17108111187793784,-6.987460482363835,1.7833249470758857e-10
ACRU.C3 = Site,(Intercept),49.38749999999997,0.46652791940587107,105.86183151245383,3.0225645157056673e-117
ACRU.C3 = Site,SiteDP,0.2103000000000311,0.48483003573622035,0.4337602551390777,0.6652681740075992
ACRU.C3 = Site,SiteTN,0.5878571428571737,0.4987393245089298,1.1786861672397526,0.24093529160812543
ACRU.C3 = Site,SiteUNI,0.6896052631579257,0.4904677837635469,1.4060154121975572,0.16239256307589156
ACRU.C4 = Null,(Intercept),49.830666666666666,0.08671557012848241,574.6449754390693,9.561166385054869e-207
