model,term,estimate,std.error,statistic,p.value
ACRU.C1 = Year*Site,(Intercept),0.46775796118571245,0.43897747042267127,1.0655625691572048,0.2889131475353729
ACRU.C1 = Year*Site,Year2017,-1.86857550136075,0.6208078922479738,-3.0099093853245846,0.0032291901153870886
ACRU.C1 = Year*Site,SiteDP,-0.1502755790531039,0.44981805267865965,-0.33408080924768385,0.7389433158069882
ACRU.C1 = Year*Site,SiteTN,-0.13380607370752995,0.46150358442540457,-0.289935069245725,0.7724020059608658
ACRU.C1 = Year*Site,SiteUNI,-0.21124553085806605,0.45337398194860334,-0.46594100956153645,0.6421626032913013
ACRU.C1 = Year*Site,Year2017:SiteDP,-0.9445517569554432,0.6584662056340052,-1.4344726409246473,0.15422376002854368
ACRU.C1 = Year*Site,Year2017:SiteTN,1.303493398502987,0.6697083478701757,1.9463597887772959,0.05411630529359413
ACRU.C1 = Year*Site,Year2017:SiteUNI,1.8824362961595733,0.6681500519578585,2.8173855418308076,0.005724514249035306
ACRU.C2 = Year,(Intercept),0.3041238459295672,0.08853657821441067,3.4350079036606185,0.00081851415456335105
ACRU.C2 = Year,Year2017,-1.2584435003982015,0.18010026726798362,-6.987460482363841,1.7833249470758084e-10
ACRU.C3 = Site,(Intercept),-0.46652978949466867,0.4911226145930194,-0.9499252847097457,0.34412515877030114
ACRU.C3 = Site,SiteDP,0.22138671996403822,0.5103895927327068,0.43376025513901767,0.6652681740076427
ACRU.C3 = Site,SiteTN,0.6188481439114267,0.525032159629629,1.1786861672396942,0.2409352916081486
ACRU.C3 = Site,SiteUNI,0.7259602818852244,0.5163245548998657,1.4060154121974981,0.16239256307590916
ACRU.C4 = Null,(Intercept),1.55064019584447e-15,0.09128709291752768,1.6986412276764895e-14,0.9999999999999865
