model,term,estimate,std.error,statistic,p.value
ACRU.CPRatio1 = Year*Site,(Intercept),954.4854488999985,270.7517057308493,3.525316475194582,6.13879088658686e-4
ACRU.CPRatio1 = Year*Site,Year2017,88.89825680000051,382.90073428021515,0.23217050488846233,0.8168292823201303
ACRU.CPRatio1 = Year*Site,SiteDP,106.7776112075013,277.43793984235936,0.38487025699575367,0.7010634188220948
ACRU.CPRatio1 = Year*Site,SiteTN,141.26633829473835,284.64532032536414,0.49628898916470404,0.6206631323499288
ACRU.CPRatio1 = Year*Site,SiteUNI,162.8816013933343,279.6311592674212,0.5824873087107036,0.5614093160763769
ACRU.CPRatio1 = Year*Site,Year2017:SiteDP,-209.2060924775004,406.12755859627293,-0.5151240984497433,0.6074815046806645
ACRU.CPRatio1 = Year*Site,Year2017:SiteTN,-17.339928005848588,413.0614661236485,-0.04197905016067982,0.9665901445551413
ACRU.CPRatio1 = Year*Site,Year2017:SiteUNI,99.82805651916648,412.1003432763027,0.24224210959279482,0.8090355872118493
ACRU.CPRatio2 = Year,(Intercept),1084.6130633802195,39.95287495373237,27.147309539958293,1.420679513383112e-52
ACRU.CPRatio2 = Year,Year2017,34.38202656805616,81.27175911255566,0.4230501092075475,0.6730287037807737
ACRU.CPRatio3 = Site,(Intercept),998.9345772999984,190.28434486095853,5.249693967361969,6.975589518497741e-7
ACRU.CPRatio3 = Site,SiteDP,38.26691567200131,197.7492919104828,0.1935122765917361,0.8468962304618896
ACRU.CPRatio3 = Site,SiteTN,119.81810129285834,203.42252129612717,0.5890109931261553,0.5569992023117203
ACRU.CPRatio3 = Site,SiteUNI,158.16432842894855,200.04877956223402,0.79062880950865555,0.4307740678124363
ACRU.CPRatio4 = Null,(Intercept),1092.9220531341664,34.67166767119292,31.522050323591,1.3314889848223852e-59
