model,term,estimate,std.error,statistic,p.value
ACRU.P1 = Year*Site,(Intercept),0.1434999999999999,0.0410474000883766,3.4959583235732103,6.780289214937246e-4
ACRU.P1 = Year*Site,Year2017,0.012500000000000244,0.05804978990513659,0.2153323900125635,0.8298998123096304
ACRU.P1 = Year*Site,SiteDP,-0.0030749999999998487,0.042061068777624055,-0.07310798534999921,0.9418505907545565
ACRU.P1 = Year*Site,SiteTN,-0.007763157894736702,0.043153746031407085,-0.1798953418571522,0.8575598084323253
ACRU.P1 = Year*Site,SiteUNI,-0.011266666666666503,0.0423935725193054,-0.26576355794350265,0.7909098992648558
ACRU.P1 = Year*Site,Year2017:SiteDP,-0.009725000000000282,0.06157110013256474,-0.15794747826597244,0.8747826054152417
ACRU.P1 = Year*Site,Year2017:SiteTN,-0.013681286549707872,0.06262231743028669,-0.21847301586911644,0.8274581726655224
ACRU.P1 = Year*Site,Year2017:SiteUNI,-0.042233333333333616,0.0624766060895489,-0.675986356762078,0.5004427826289539
ACRU.P2 = Year,(Intercept),0.13681318681318683,0.006011164584010993,22.759847098030587,5.564948323125143e-45
ACRU.P2 = Year,Year2017,-0.006640773020083366,0.012227853956027475,-0.5430857322931905,0.5880951857935668
ACRU.P3 = Site,(Intercept),0.1497500000000001,0.02873875838148842,5.210733115612225,8.271981381267359e-7
ACRU.P3 = Site,SiteDP,-0.008770000000000087,0.029866193797910324,-0.29364304200737174,0.769555409098897
ACRU.P3 = Site,SiteTN,-0.014392857142857223,0.030723025024230743,-0.4684713543508757,0.6403266762293099
ACRU.P3 = Site,SiteUNI,-0.023776315789473753,0.03021348679289203,-0.7869437894558838,0.43291961369710585
ACRU.P4 = Null,(Intercept),0.13520833333333335,0.00521913222223081,25.90628625146066,9.546865014977035e-51
