model,term,estimate,std.error,statistic,p.value
ACRU.Qty_C1 = Year*Site,(Intercept),0.20554010099999848,0.7684728757230991,0.2674656549284115,0.7896025654639643
ACRU.Qty_C1 = Year*Site,Year2017,-0.005469887999998232,1.0867847631634573,-0.0050330922786185,0.9959931442287777
ACRU.Qty_C1 = Year*Site,SiteDP,0.3246465464750016,0.7874503722509983,0.41227556416916783,0.6809255063924717
ACRU.Qty_C1 = Year*Site,SiteTN,0.6455854462631602,0.8079070352709209,0.7990838278152531,0.42593316391935687
ACRU.Qty_C1 = Year*Site,SiteUNI,0.3488962621000014,0.7936753732500483,0.4395956758382136,0.6610770208713408
ACRU.Qty_C1 = Year*Site,Year2017:SiteDP,-0.018971995375001535,1.1527093135846456,-0.016458612029431118,0.9868978039691083
ACRU.Qty_C1 = Year*Site,Year2017:SiteTN,-0.4091353265964931,1.1723897800222507,-0.3489755144306428,0.7277629042353511
ACRU.Qty_C1 = Year*Site,Year2017:SiteUNI,0.5176290296499985,1.169661831046161,0.4425458845545333,0.658947712789404
ACRU.Qty_C2 = Year,(Intercept),0.5980551911208795,0.1127185251064454,5.305740033025697,5.326480266766144e-7
ACRU.Qty_C2 = Year,Year2017,0.019842570913603582,0.2292909541699399,0.08653883004428156,0.9311847647856717
ACRU.Qty_C3 = Site,(Intercept),0.20280515699999943,0.5393854520335283,0.3759930050679102,0.7076088498216608
ACRU.Qty_C3 = Site,SiteDP,0.32249311380000095,0.5605458046713461,0.5753198242007753,0.566189326627774
ACRU.Qty_C3 = Site,SiteTN,0.5150544284285719,0.5766273031199004,0.8932189399319417,0.37358928502434485
ACRU.Qty_C3 = Site,SiteUNI,0.4594541832894742,0.5670639982063509,0.8102333859013243,0.41946512945539316
ACRU.Qty_C4 = Null,(Intercept),0.6028504790916669,0.09774772866042078,6.167411635578682,9.851250204127153e-9
