model,term,estimate,std.error,statistic,p.value
ACRU.Qty_P1 = Year*Site,(Intercept),5.564049999999877e-4,0.0020175904231461016,0.27577698308676807,0.7832275463431375
ACRU.Qty_P1 = Year*Site,Year2017,1.470900000001362e-5,0.002853303739727279,0.005155076830838737,0.9958960329176092
ACRU.Qty_P1 = Year*Site,SiteDP,8.908887250000116e-4,0.002067414973184969,0.4309191606693007,0.6673553534447518
ACRU.Qty_P1 = Year*Site,SiteTN,0.0015727625789473815,0.002121123007264489,0.7414763658500402,0.45995659659004673
ACRU.Qty_P1 = Year*Site,SiteUNI,8.046586333333443e-4,0.0020837584288833115,0.38615735018984987,0.7001127232862003
ACRU.Qty_P1 = Year*Site,Year2017:SiteDP,1.2084747499998565e-4,0.003026385634719144,0.039931287544325324,0.9682190006790591
ACRU.Qty_P1 = Year*Site,Year2017:SiteTN,-0.0010182468011696044,0.003078055800136756,-0.3308084282047013,0.7414072723049283
ACRU.Qty_P1 = Year*Site,Year2017:SiteUNI,8.292578666666542e-4,0.0030708936947419353,0.2700379593362451,0.7876279889283704
ACRU.Qty_P2 = Year,(Intercept),0.0015416555164835162,2.9407820793877294e-4,5.242331716073599,7.044959325376097e-7
ACRU.Qty_P2 = Year,Year2017,1.1597248957938241e-6,5.982111000404808e-4,0.001938654925853676,0.9984564517997611
ACRU.Qty_P3 = Site,(Intercept),5.63759499999996e-4,0.0014101132510581744,0.3997973209435063,0.69004101640557
ACRU.Qty_P3 = Site,SiteDP,9.106455200000041e-4,0.0014654326771553318,0.6214175063761582,0.5355442502106158
ACRU.Qty_P3 = Site,SiteTN,0.0012428423571428599,0.001507474474859895,0.8244533342817428,0.4113740802815633
ACRU.Qty_P3 = Site,SiteUNI,9.749813684210556e-4,0.0014824731646991094,0.6576721870165811,0.512051756347718
ACRU.Qty_P4 = Null,(Intercept),0.0015419357833333332,2.550118995139884e-4,6.04652483382938,1.752839736070093e-8
