model,term,estimate,std.error,statistic,p.value
ACRU.Qty_P1 = Year*Site,(Intercept),-7.494014111614622,1.3017073494565754,-5.7570652226425185,7.594586459703057e-8
ACRU.Qty_P1 = Year*Site,Year2017,0.026092393116303007,1.8408921878422169,0.014173775785798157,0.9887165592048358
ACRU.Qty_P1 = Year*Site,SiteDP,0.9559542486250014,1.3338531121569288,0.7166862976982227,0.4750595359678834
ACRU.Qty_P1 = Year*Site,SiteTN,1.341989927973182,1.368504417934421,0.9806252068946484,0.3288911258567776
ACRU.Qty_P1 = Year*Site,SiteUNI,0.8945253100466164,1.344397569621629,0.6653726027624209,0.5071801252187593
ACRU.Qty_P1 = Year*Site,Year2017:SiteDP,0.06343933686379427,1.9525610241848579,0.03249032223731829,0.974138863844711
ACRU.Qty_P1 = Year*Site,Year2017:SiteTN,-0.6634808069292755,1.9858975395152896,-0.3340961926420511,0.7389317391890782
ACRU.Qty_P1 = Year*Site,Year2017:SiteUNI,0.45638247047225516,1.9812766981774907,0.23034766970815632,0.8182418326084171
ACRU.Qty_P2 = Year,(Intercept),-6.4748984292632334,0.1907284420561453,-33.94825836912776,9.833926879948333e-63
ACRU.Qty_P2 = Year,Year2017,7.519766219008786e-4,0.38797798698218583,0.0019381940396927878,0.9984568187547544
ACRU.Qty_P3 = Site,(Intercept),-7.480882815848124,0.8921080445392517,-8.385624209578545,1.3746187060007183e-13
ACRU.Qty_P3 = Site,SiteDP,0.9613820690084924,0.9271058753897419,1.036971175060606,0.3019060979211065
ACRU.Qty_P3 = Site,SiteTN,1.1645751909914215,0.9537036156144987,1.2211080800412528,0.22452121274447664
ACRU.Qty_P3 = Site,SiteUNI,1.0040920009512921,0.937886538580636,1.0705900550303762,0.28657631386766874
ACRU.Qty_P4 = Null,(Intercept),-6.474716649757895,0.16538425417607663,-39.14953501476977,8.082958930388328e-70
