model,term,estimate,std.error,statistic,p.value
BEPA.Qty_N1 = Year*Site,(Intercept),0.0023314748181818214,0.0019584357924162044,1.190478047434674,0.23695485343434475
BEPA.Qty_N1 = Year*Site,Year2017,2.7675603896103743e-4,0.00314048389252139,0.08812528528488621,0.9299707439271254
BEPA.Qty_N1 = Year*Site,SiteDP,0.0018063340818181804,0.0024382328984689267,0.740837383890791,0.46069943182001993
BEPA.Qty_N1 = Year*Site,SiteTN,0.0011037616484848463,0.002578400532351265,0.4280799800635772,0.6696043456823895
BEPA.Qty_N1 = Year*Site,SiteUNI,0.00114318642181818,0.0023501229508994465,0.4864368570081221,0.6278269190373513
BEPA.Qty_N1 = Year*Site,Year2017:SiteDP,-0.0031188180818181844,0.004242560113836342,-0.7351264326571882,0.46415285490171587
BEPA.Qty_N1 = Year*Site,Year2017:SiteTN,-8.188995056277047e-4,0.004166907152603637,-0.1965245386175754,0.8446378606351325
BEPA.Qty_N1 = Year*Site,Year2017:SiteUNI,-0.0016513972789610383,0.004470825635959305,-0.36937188193578435,0.7127086716186168
BEPA.Qty_N2 = Year,(Intercept),0.0034760208309859157,7.499654555193251e-4,4.634907921964075,1.1129405605937639e-5
BEPA.Qty_N2 = Year,Year2017,-0.0011951000809859156,0.0014101971779906547,-0.8474701975285299,0.3988193121812189
BEPA.Qty_N3 = Site,(Intercept),0.0024391021666666673,0.001508464043856209,1.6169441867711958,0.10920627260907721
BEPA.Qty_N3 = Site,SiteDP,9.618758333333336e-4,0.0019474187067359326,0.4939234844598639,0.6225003037999826
BEPA.Qty_N3 = Site,SiteTN,7.928304999999996e-4,0.0019955103608631786,0.39730713282643776,0.6920322425078265
BEPA.Qty_N3 = Site,SiteUNI,8.064522000000009e-4,0.001908072858821499,0.42265272852216845,0.6735037740512408
BEPA.Qty_N4 = Null,(Intercept),0.003138012727272726,6.342019030127022e-4,4.947971162442059,3.1142334289308345e-6
